,validDate,stoxxId,currency,adjustedOpenPrice,adjustedOpenNet,adjustedOpenGross,adjustmentFactor,closePrice,freeFloat,shares,Capfactor
87,20240229,CN0W83,CNY,3.21,3.21,3.21,,3.28,0.4299,1128334788.0,
88,20240229,BR03X2,BRL,15.7,15.7,15.7,,15.8,1.0,963226993.0,1.0
89,20240229,CN0WZU,CNY,13.53,13.53,13.53,,13.99,0.5858,1356921309.0,
90,20240229,CN0A09,CNY,4.69,4.69,4.69,,4.81,0.3603,3303791344.0,
91,20240229,PS071,SGD,0.008,0.008,0.008,,0.008,0.7313,25567291028.0,
92,20240229,AU01X2,AUD,44.24,44.24,44.24,,45.05,0.7432,89808518.0,1.0
93,20240229,CN199I,CNY,2.32,2.32,2.32,,2.43,0.543,2863320000.0,
94,20240229,AIG,USD,72.43,72.43,72.43,,72.89,1.0,702040343.0,1.0
95,20240229,OTRKB,USD,109.56,109.56,109.56,,110.86,1.0,65413503.0,1.0
96,20240229,TW05SM,TWD,508.0,508.0,508.0,,532.0,0.8619,383310157.0,1.0
97,20240229,CN18OW,CNY,1.57,1.57,1.57,,1.73,0.8076,1756514205.0,
98,20240229,US521U,USD,57.94,57.94,57.94,,57.34,1.0,180271741.0,1.0
99,20240229,CN0C8J,CNY,2.17,2.17,2.17,,2.18,0.4126,10337121092.0,
100,20240229,TH21Q3,THB,20.8,20.8,20.8,,21.0,0.7936,889472083.0,0.6174395
101,20240229,667304,AUD,2.7,2.7,2.7,,2.7,1.0,1942225029.0,1.0
102,20240229,US52IB,USD,46.88,46.88,46.88,,47.23,1.0,119904122.0,1.0
103,20240229,ID00NI,IDR,11175.0,11175.0,11175.0,,11425.0,0.164,8062702740.0,1.0
104,20240229,JP10AJ,JPY,2149.0,2149.0,2149.0,,2159.0,1.0,34300099.0,1.0
105,20240229,CN0SA1,CNY,6.43,6.43,6.43,,6.75,0.6989,3350297713.0,
106,20240229,512907,EUR,35.73,35.73,35.73,,35.38,0.6783,293413449.0,1.0
107,20240229,255273,CAD,4.71,4.71,4.71,,4.33,0.8041,852643504.0,1.0
108,20240229,CN0ZB9,CNY,3.97,3.97,3.97,,4.03,0.3153,1516505426.0,
109,20240229,647098,JPY,4023.0,4023.0,4023.0,,4022.0,1.0,208400000.0,1.0
110,20240229,625060,JPY,657.0,657.0,657.0,,711.0,0.754,35696897.0,
111,20240229,IN027E,INR,3225.05,3225.05,3225.05,,3122.0,0.4597,41644500.0,1.0
112,20240229,534433,EUR,78.4,78.4,78.4,,77.6,0.4996,40400000.0,1.0
113,20240229,CN4025,USD,0.166,0.166,0.166,,0.167,1.0,326148731.0,1.0
114,20240229,US5382,USD,45.81,45.81,45.81,,46.7,0.9037,122201126.0,1.0
115,20240229,ID4021,IDR,5175.0,5175.0,5175.0,,5300.0,0.4163,11740924997.0,
116,20240229,PK20V6,PKR,188.11,188.11,188.11,,192.4,0.4075,1224179688.0,
117,20240229,CN04JM,CNY,13.01,13.01,13.01,,13.11,0.7045,20589631240.0,
118,20240229,033086,GBP,36.08,36.08,36.08,,35.05,1.0,105982800.0,1.0
119,20240229,B04QR1,PLN,74.86,74.86,74.86,,76.0,0.6667,68868000.0,1.0
120,20240229,CN0J0I,CNY,0.78,0.78,0.78,,1e-07,0.8216,1374669616.0,
121,20240229,645843,JPY,3475.0,3475.0,3475.0,,3435.0,0.5228,14850000.0,
122,20240229,693962,NZD,1.38,1.38,1.38,,1.33,0.3169,346843120.0,1.0
123,20240229,AU00CG,AUD,2.06,2.06,2.06,,2.14,0.9219,374394475.0,
124,20240229,MY00I2,MYR,7.58,7.58,7.58,,7.6,0.2856,4463793103.0,1.0
125,20240229,LECO,USD,256.57,256.57,256.57,,256.6,1.0,57199736.0,1.0
126,20240229,IN50IS,INR,707.4,707.4,707.4,,705.15,0.4521,402015000.0,1.0
127,20240229,656302,JPY,8310.0,8310.0,8310.0,,8344.0,1.0,1337051194.0,1.0
128,20240229,KR526O,KRW,2540.0,2540.0,2540.0,,2555.0,0.8958,78473817.0,1.0
129,20240229,CN249E,HKD,9.75,9.75,9.75,,9.56,1.0,231898050.0,1.0
130,20240229,GB4061,GBP,2.76,2.76,2.76,,2.762,1.0,476425444.0,1.0
131,20240229,646164,JPY,1291.0,1291.0,1291.0,,1283.0,0.351,52381447.0,1.0
132,20240229,680482,JPY,20915.0,20915.0,20915.0,,20860.0,0.9131,90460000.0,1.0
133,20240229,RNT,USD,29.4,29.4,29.4,,30.87,1.0,44722262.0,1.0
134,20240229,684152,JPY,1774.0,1774.0,1774.0,,1805.0,0.8883,41921434.0,1.0
135,20240229,US20SG,USD,178.0,178.0,178.0,,176.05,1.0,1765046680.0,1.0
136,20240229,TW404X,TWD,129.5,129.5,129.5,,130.0,0.8284,75595772.0,1.0
137,20240229,JP505I,JPY,575.0,575.0,575.0,,569.0,0.5239,129766034.0,1.0
138,20240229,CN19LU,CNY,2.86,2.86,2.86,,2.9,0.4432,2164955990.0,
139,20240229,KR031F,KRW,44600.0,44600.0,44600.0,,43700.0,0.5986,19037855.0,1.0
140,20240229,CN1549,CNY,29.68,29.68,29.68,,29.97,0.4859,406528465.0,
141,20240229,IL20FK,ILS,159.7,159.7,159.7,,164.2,0.1071,38048704.0,1.0
142,20240229,NZ402S,NZD,5.72,5.72,5.72,,5.98,0.4902,2586852220.0,1.0
143,20240229,US502T,USD,30.8,30.8,30.8,,31.2,1.0,58071728.0,1.0
144,20240229,KR16UC,KRW,14820.0,14820.0,14820.0,,14950.0,0.4481,18586811.0,1.0
145,20240229,CN0QAZ,CNY,10.01,10.01,10.01,,10.13,0.4281,2366718283.0,
146,20240229,664036,JPY,301.0,301.0,301.0,,300.0,0.779,137146672.0,1.0
147,20240229,MY21J6,MYR,0.775,0.775,0.775,,0.765,0.8301,723171375.0,1.0
148,20240229,686432,JPY,800.0,800.0,800.0,,808.0,0.7599,232139248.0,1.0
149,20240229,CN07TZ,CNY,9.51,9.51,9.51,,10.04,0.6137,775770137.0,
150,20240229,486097,EUR,3.286,3.286,3.286,,3.302,0.9467,284037876.0,1.0
151,20240229,IN507H,INR,945.9,945.9,945.9,,921.75,0.5479,152939345.0,1.0
152,20240229,CN0YOL,CNY,16.01,16.01,16.01,,16.56,0.6398,330129367.0,
153,20240229,MAN,USD,72.84,72.84,72.84,,72.16,1.0,48808805.0,1.0
154,20240229,US415W,USD,153.75,153.75,153.75,,154.3,1.0,177574662.0,1.0
155,20240229,TEK.B,CAD,50.86,50.86,50.86,,52.15,0.9008,512200000.0,1.0
156,20240229,AU00VZ,AUD,1.83,1.83,1.83,,1.815,1.0,755338808.0,1.0
157,20240229,HK0045,HKD,6.1,6.1,6.1,,6.12,0.7036,11903219732.0,1.0
158,20240229,LT401J,EUR,0.298,0.298,0.298,,0.297,0.3846,231735132.0,
159,20240229,CN0FN1,CNY,29.22,29.22,29.22,,29.79,0.4434,928345562.0,
160,20240229,NG20AF,NGN,7.2,7.2,7.2,,7.9,0.7924,19802710754.0,
161,20240229,US30WL,USD,67.99,67.99,67.99,,68.36,1.0,104468001.0,1.0
162,20240229,ID20IF,IDR,1030.0,1030.0,1030.0,,1015.0,0.3489,21171365812.0,1.0
163,20240229,526856,TRY,79.8,79.8,79.8,,79.5,0.6483,2040403931.0,1.0
164,20240229,EG2073,USD,0.244,0.244,0.244,,0.25,0.519,470255740.0,1.0
165,20240229,CN0ZVT,CNY,4.0,4.0,4.0,,4.2,0.7123,1665540916.0,
166,20240229,KR17Q9,KRW,19700.0,19700.0,19700.0,,19450.0,0.5586,10716390.0,1.0
167,20240229,547311,PLN,171.4,171.4,171.4,,173.0,0.672,262470034.0,1.0
168,20240229,CN0KFY,CNY,19.0,19.0,19.0,,19.69,0.3866,534724139.0,
169,20240229,VN22CY,VND,24150.0,24150.0,24150.0,,23950.0,0.8077,262079809.0,
170,20240229,405097,SEK,180.0,180.0,180.0,,179.75,0.7678,3357576384.0,1.0
171,20240229,EG20EA,EGP,66.3,66.3,66.3,,67.0,0.2244,1261875720.0,1.0
172,20240229,KR50S8,KRW,13600.0,13600.0,13600.0,,13790.0,0.3665,38300000.0,1.0
173,20240229,689606,JPY,4225.0,4225.0,4225.0,,4250.0,0.5944,28764854.0,1.0
