,validDate,stoxxId,currency,closePrice,freeFloat,shares,Capfactor
255,20240531,698899,HKD,14.36,0.4888,1612183986.0,1.0
256,20240531,CN17AH,CNY,3.67,0.7871,1196090018.0,
257,20240531,KR18K4,KRW,237000.0,0.9138,7688800.0,1.0
258,20240531,MY20H3,MYR,0.45,0.431,1109199286.0,
259,20240531,ES502D,EUR,33.53,0.6804,706475375.0,1.0
260,20240531,BR1025,BRL,15.86,0.334,2420804398.0,1.0
261,20240531,278426,CAD,5.44,1.0,176819989.0,1.0
262,20240531,AU10DI,AUD,0.56,0.8175,603437317.0,1.0
263,20240531,VN509W,VND,12200.0,0.435,227644608.0,
264,20240531,CN1EO2,CNY,6.29,0.5618,628581600.0,
265,20240531,CN1FVA,CNY,4.07,0.8877,553275448.0,
266,20240531,AU108D,AUD,0.39,0.5207,1157338698.0,1.0
267,20240531,CA50A1,CAD,200.1,0.8338,44682427.0,1.0
268,20240531,CN0MAV,CNY,8.29,0.4265,3111443890.0,
269,20240531,PJC,USD,211.78,1.0,17709568.0,1.0
270,20240531,611571,AUD,1.065,1.0,2741080904.0,1.0
271,20240531,PH179,HKD,0.64,0.688,8444719158.0,1.0
272,20240531,B1ZBHG,EUR,11.83,0.3799,90167100.0,1.0
273,20240531,IN05FP,INR,15.26,0.352,48679820375.0,1.0
274,20240531,EG2051,EGP,27.6,0.4385,2230000000.0,1.0
275,20240531,CN0NXJ,CNY,1.81,0.5951,1734215770.0,
276,20240531,705227,CHF,68.5,0.385,49583333.0,
277,20240531,CN0HCS,CNY,11.58,0.5279,1056626982.0,
278,20240531,608313,JPY,2850.0,0.5585,34818578.0,1.0
279,20240531,CN19DM,CNY,2.34,0.3156,2707782513.0,
280,20240531,CN1BFQ,CNY,7.75,0.6481,959400000.0,
281,20240531,647960,JPY,2641.0,0.8639,28000000.0,1.0
282,20240531,143406,CHF,284.8,0.8256,59626809.0,1.0
283,20240531,CA111P,CAD,0.065,0.8009,559878603.0,
284,20240531,U0188,USD,32.61,1.0,97800000.0,1.0
285,20240531,CN0H6M,CNY,0.98,0.7808,1752424858.0,
286,20240531,IN05R1,INR,68.6,0.0362,18902412256.0,1.0
287,20240531,US313T,USD,134.65,0.9306,52062546.0,
288,20240531,CA105S,CAD,11.25,0.9338,181425677.0,1.0
289,20240531,ZA00T2,ZAR,24.84,0.5604,493450321.0,1.0
290,20240531,BG501X,BGN,2.54,1.0,34641925.0,
291,20240531,CDN,USD,286.31,1.0,272062000.0,1.0
292,20240531,SCE,USD,76.85,1.0,383568713.0,1.0
293,20240531,698642,JPY,4036.0,1.0,268624510.0,1.0
294,20240531,CN18S0,CNY,9.34,0.6992,424861597.0,
295,20240531,KR139O,KRW,10390.0,0.6929,40955990.0,1.0
296,20240531,659460,JPY,3695.0,0.4623,35497183.0,1.0
