Date;sd3e;sd3t;sd3gt
2007-05-21 00:00:00;159.765953976;168.104022811;170.589640515
2007-05-22 00:00:00;160.053881734;168.40736542;170.896899404
2007-05-23 00:00:00;161.082573095;169.4898485;171.995782398
2007-05-24 00:00:00;159.45465689;167.922292075;170.453721704
2007-05-25 00:00:00;159.315763714;168.097152084;170.706613068
2007-05-28 00:00:00;159.672917594;168.474011474;171.08883324
2007-05-29 00:00:00;160.850643538;169.716926037;172.350818808
2007-05-30 00:00:00;160.157500452;168.985537119;171.608619724
2007-05-31 00:00:00;161.26996865;170.159057336;172.80058651
2007-06-01 00:00:00;162.745322827;171.715964135;174.381363472
2007-06-04 00:00:00;162.004118293;170.933731836;173.586444364
2007-06-05 00:00:00;160.50098548;169.347624446;171.976012389
2007-06-06 00:00:00;157.431666762;166.18743344;168.786450954
2007-06-07 00:00:00;155.235831794;164.215534714;166.900886355
2007-06-08 00:00:00;155.188652207;164.165378405;166.849813832
2007-06-11 00:00:00;156.788348847;166.003985022;168.767504695
2007-06-12 00:00:00;156.025538707;165.196674568;167.947049326
2007-06-13 00:00:00;155.890172977;165.053076368;167.801245511
2007-06-14 00:00:00;158.127896364;167.422790202;170.209891594
2007-06-15 00:00:00;159.935271371;169.336287746;172.15558997
2007-06-18 00:00:00;158.682146274;168.13906352;170.986688194
2007-06-19 00:00:00;158.584700586;168.035659075;170.881248147
2007-06-20 00:00:00;158.732412376;168.19196812;171.040231968
2007-06-21 00:00:00;156.759247419;166.101549349;168.914956012
2007-06-22 00:00:00;157.083772427;166.445085712;169.264226169
2007-06-25 00:00:00;155.500831154;164.767941187;167.559062902
2007-06-26 00:00:00;154.640575326;163.856539215;166.631519984
2007-06-27 00:00:00;153.420079103;162.563124807;165.316814393
2007-06-28 00:00:00;154.879118844;164.109038442;166.8885301
2007-06-29 00:00:00;156.227484975;165.537806177;168.341625754
2007-07-02 00:00:00;155.630905716;164.977154832;167.771590497
2007-07-03 00:00:00;156.527317863;165.927719949;168.737849682
2007-07-04 00:00:00;156.945320182;166.496616167;169.358957462
2007-07-05 00:00:00;155.351796572;164.806073723;167.639790438
2007-07-06 00:00:00;156.584638856;166.113916658;168.969323536
2007-07-09 00:00:00;156.678557098;166.213542203;169.070644832
2007-07-10 00:00:00;155.072246498;164.509945378;167.338297802
2007-07-11 00:00:00;154.063397018;163.43948607;166.249299812
2007-07-12 00:00:00;155.701895561;165.177436532;168.017068108
2007-07-13 00:00:00;155.888850185;165.375657013;168.218886948
2007-07-16 00:00:00;156.24247662;165.751142258;168.60028337
2007-07-17 00:00:00;155.576230307;165.044487959;167.881973047
