Date;sxxe;sxxt;sxxgt
2010-12-28 00:00:00;90.9499885069;104.544162244;108.85264342
2010-12-29 00:00:00;91.442550816;105.112774829;109.448818898
2010-12-30 00:00:00;90.5165336748;104.046626232;108.335208099
2010-12-31 00:00:00;90.1224838275;103.591736164;107.862767154
2011-01-03 00:00:00;91.5344957804;105.219389689;109.561304837
2011-01-04 00:00:00;91.6330082422;105.337850644;109.673790776
2011-01-05 00:00:00;91.2061209076;104.845053071;109.167604049
2011-01-06 00:00:00;91.2882146258;104.942191054;109.268841395
2011-01-07 00:00:00;90.7135585985;104.283548143;108.582677165
2011-01-10 00:00:00;89.3311003842;102.708017437;106.951631046
2011-01-11 00:00:00;90.6314648803;104.202994693;108.503937008
2011-01-12 00:00:00;92.7954552918;106.695413192;111.102362205
2011-01-13 00:00:00;93.3274225856;107.318517817;111.754780652
2011-01-14 00:00:00;93.4522050373;107.460670963;111.901012373
2011-01-17 00:00:00;93.1927888878;107.197687642;111.631046119
2011-01-18 00:00:00;94.2534397268;108.417835481;112.902137233
2011-01-19 00:00:00;93.5244475093;107.579131918;112.035995501
2011-01-20 00:00:00;93.166518898;107.169257013;111.597300337
2011-01-21 00:00:00;94.2041834959;108.360974223;112.845894263
2011-01-24 00:00:00;94.371654681;108.559988628;113.059617548
2011-01-25 00:00:00;93.9053623617;108.02454511;112.497187852
2011-01-26 00:00:00;94.480018389;108.756633813;113.284589426
2011-01-27 00:00:00;95.0316881752;109.389215315;113.948256468
2011-01-28 00:00:00;94.1253735264;108.346758908;112.857142857
2011-01-31 00:00:00;94.0498473057;108.259097801;112.767154106
2011-02-01 00:00:00;95.6063442025;110.052596664;114.634420697
2011-02-02 00:00:00;95.6260466949;110.078658074;114.668166479
2011-02-03 00:00:00;95.2090106065;109.597706596;114.161979753
2011-02-04 00:00:00;95.4815617509;109.910443518;114.488188976
2011-02-07 00:00:00;96.4042951433;110.974222896;115.590551181
2011-02-08 00:00:00;96.7425212623;111.367513268;116.006749156
2011-02-09 00:00:00;96.5323613437;111.135329795;115.770528684
2011-02-10 00:00:00;96.2795126917;110.843915845;115.466816648
2011-02-11 00:00:00;96.3944438972;110.978961334;115.601799775
2011-02-14 00:00:00;96.4305651332;111.019238059;115.646794151
2011-02-15 00:00:00;96.5980363183;111.213514026;115.849268841
2011-02-16 00:00:00;97.4058385052;112.142247915;116.816647919
2011-02-17 00:00:00;97.4485272387;112.192001516;116.872890889
2011-02-18 00:00:00;97.5142022132;112.272554966;116.951631046
2011-02-21 00:00:00;95.8756115982;110.391394996;114.994375703
2011-02-22 00:00:00;95.2024431091;109.616660349;114.18447694
2011-02-23 00:00:00;94.1483597675;108.403620167;112.924634421
2011-02-24 00:00:00;93.7871474075;107.989006823;112.497187852
2011-02-25 00:00:00;95.0251206778;109.415276725;113.98200225
2011-02-28 00:00:00;95.829639116;110.341641395;114.949381327
2011-03-01 00:00:00;95.179456868;109.597706596;114.173228346
2011-03-02 00:00:00;94.4701671428;108.780326005;113.318335208
2011-03-03 00:00:00;94.8018257643;109.161770281;113.723284589
2011-03-04 00:00:00;94.227169737;108.507865807;113.03712036
