closeDay;nextTradingDay;indexSymbol;indexName;indexType;indexCurrency;indexClose;indexComponentCount;indexMcapUnits;indexDivisor;internalNumber;isin;sedol;ric;cusip;name;country;currency;currencyNextDay;exchange;icb5;sharesClose;freeFloatClose;capFactorCf;weightFactorWf;closeUnadjustedLocal;fxLocalToIndexCurrencyClose;mcapUnitsLocal;mcapUnitsIndexCurrency;indexComponentCountNextDay;indexDivisorNextDay;sharesNextDay;freeFloatNextDay;capFactorNextDaycf;weightFactorNextDayWf;adjustedLocal;adjustedMcapUnitsLocal;adjustedMcapUnitsIndexCurrency;weight
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;HK51U1;KYG733101318;BYYNHM3;1622.HK;;REDCO GROUP;CN;HKD;HKD;0;35101010;3551609322;0.2551;1;906015538;2.65;0.1287895;2400941176;309216036;1375;1018830191;3551609322;0.2551;1;906015538;2.65;2400941176;309216036;0.000223022
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN0BCS;INE112L01020;BHHLPD2;METP.BO;;METROPOLIS HEALTHCARE;IN;INR;INR;0;20102020;50928925;0.184;1;9370922;1877.8;0.013787;17596717332;242605942;1375;1018830191;50928925;0.184;1;9370922;1877.8;17596717332;242605942;0.00017498
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN706I;INE976G01028;BD0FRL5;RATB.BO;;RBL BANK;IN;INR;INR;0;30101010;509175292;0.24;0.7834833;122202070;222.85;0.013787;21336390171;294164816;1375;1018830191;509175292;0.24;0.7834833;122202070;222.85;21336390171;294164816;0.000212167
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;MY23F4;MYL2836OO004;B09FGC9;CBMS.KL;;CARLSBERG BREWERY MAL.;MY;MYR;MYR;0;45101010;308078000;0.49;1;150958220;24.2;0.2432186;3653188924;888523493;1375;1018830191;308078000;0.49;1;150958220;24.2;3653188924;888523493;0.000640848
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;PH703G;PHY9584X1055;BYXYHM7;WLCON.PS;;WILCON DEPOT;PH;PHP;PHP;0;40401025;4099724116;0.3462;1;1419324489;17.8;0.0205402;25263975904;518927175;1375;1018830191;4099724116;0.3462;1;1419324489;17.8;25263975904;518927175;0.000374277
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;KR02N0;KR7004800009;6896838;004800.KS;;HYOSUNG;KR;KRW;KRW;0;50203000;21071025;0.417;1;8786617;84600;0.0008898;7.43348E+11;661430871;1375;1018830191;21071025;0.417;1;8786617;84600;7.43348E+11;661430871;0.000477058
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW11F6;TW0002404001;6105136;2404.TW;;UIS;TW;TWD;TWD;0;50101015;190586720;0.9477;1;180619035;240.5;0.0353345;43438877918;1534891041;1375;1018830191;190586720;0.9477;1;180619035;240.5;43438877918;1534891041;0.001107042
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;CZ602J;CZ0008040318;BD3CQ16;MONET.PR;;MONETA MONEY BANK;CZ;CZK;CZK;0;30101010;511000000;1;1;511000000;79.4;0.0456285;40573400000;1851303382;1375;1018830191;511000000;1;1;511000000;79.4;40573400000;1851303382;0.001335254
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW1NDQ;TW0003529004;B2PXYH2;3529.TWO;;EMEMORY TECHNOLOGY;TW;TWD;TWD;0;10102010;75833560;0.93;1;70525211;848;0.0353345;59805378928;2113193162;1375;1018830191;75833560;0.93;1;70525211;829;58465399919;2065845673;0.001524143
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;IN047G;INE061F01013;B1XC098;FOHE.BO;;Fortis Healthcar;IN;INR;INR;0;20101010;754958154;0.6883;0.5316519;519637697;188.25;0.013787;52007143964;717022508;1375;1018830191;754958154;0.6883;0.5316519;519637697;188.25;52007143964;717022508;0.000517153
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW10D3;TW0002809001;6575159;2809.TW;;Kings Town Bank;TW;TWD;TWD;0;30101010;1131234265;0.783;1;885756429;39.05;0.0353345;34588788552;1222177527;1375;1018830191;1131234265;0.783;1;885756429;39.05;34588788552;1222177527;0.000881497
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW03UM;TW0002449006;6352493;2449.TW;;King Yuan Elec;TW;TWD;TWD;0;10102010;1220238284;0.9427;1;1150318630;41.25;0.0353345;47450643488;1676644734;1375;1018830191;1220238284;0.9427;1;1150318630;41.25;47450643488;1676644734;0.001209282
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;TW01TJ;TW0001717007;6318514;1717.TW;;Eternal;TW;TWD;TWD;0;55201000;1240279453;0.7763;1;962828939;35.4;0.0353345;34084144441;1204346202;1375;1018830191;1240279453;0.7763;1;962828939;35.4;34084144441;1204346202;0.000868636
3/18/2021;3/19/2021;;SAMCO V4 NEW NoChinaA;Gross Return;USD;1358.283569;1375;1.38648E+12;1020758887;KR05JZ;KR7042670000;6211679;042670.KS;;Doosan Infracore;KR;KRW;KRW;0;50204020;209352765;0.6406;1;134111381;8210;0.0008898;1.10105E+12;979718239;1375;1018830191;209352765;0.6406;1;134111381;8210;1.10105E+12;979718239;0.000706623
