RIC;Name;Country;ISO;Weight
SARE.NS;SAREGAMA INDIA LTD ORD;INDIA;IN;0.00027
BACH.NS;BALRAMPUR CHINI MILLS LTD ORD;INDIA;IN;0.000496
GOLL4.SA;GOL LINHAS AEREAS INTELIGENTES SA;BRAZIL;BR;0.000269
KRDMA.IS;KARDEMIR KARABUK DEMIR CELIK SANAYI VE TICARET AS ORD;TURKEY;TR;0.000134
APLO.NS;APOLLO TYRES LTD ORD;INDIA;IN;0.001517
046890.KQ;SEOUL SEMICONDUCTOR CO LTD ORD;KOREA;KR;0.000255
ALKY.NS;ALKYL AMINES CHEMICALS LTD ORD;INDIA;IN;0.00034
3264.TWO;ARDENTEC CORP ORD;TAIWAN;TW;0.00094
DOBK.QA;DOHA BANK QPSC ORD;QATAR;QA;0.001018
WCKH.NS;WOCKHARDT LTD ORD;INDIA;IN;0.000306
JAIR.NS;JAIN IRRIGATION SYSTEMS LTD ORD;INDIA;IN;0.000198
TTML.NS;TATA TELESERVICES (MAHARASHTRA) LTD ORD;INDIA;IN;0.000469
ETEL.CA;TELECOM EGYPT CO SAE ORD;EGYPT;EG;0.000203
0152.HK;SHENZHEN INTERNATIONAL HOLDINGS LTD ORD;HONG KONG;HK;0.001019
6125.TWO;KENMEC MECHANICAL ENGINEERING CO LTD ORD;TAIWAN;TW;0.000282
3006.TW;ELITE SEMICONDUCTOR MICROELECTRONICS TECHNOLOGY INC ORD;TAIWAN;TW;0.000694
900917.SS;SHANGHAI HAIXIN GROUP CO LTD ORD;CHINA;CN;0.000122
0081.HK;CHINA OVERSEAS GRAND OCEANS GROUP LTD ORD;HONG KONG;HK;0.000558
CCU.SN;COMPANIA CERVECERIAS UNIDAS SA ORD;CHILE;CL;0.000694
CENTELn.BK;CENT PLAZA NVDR;THAILAND;TH;0.000569
PSLn.BK;PRECIOUS SHIP NVDR;THAILAND;TH;0.000211
RATCHn.BK;RATCH GROUP NVDR;THAILAND;TH;0.000845
RCLn.BK;REGIONAL CONTAIN NVDR;THAILAND;TH;0.000133
APn.BK;AP THAILAND NVDR;THAILAND;TH;0.000838
MBKn.BK;MBK NVDR;THAILAND;TH;0.000322
PTBA.JK;BUKIT ASAM TBK PT ORD;INDONESIA;ID;0.000575
1227.TW;STANDARD FOODS CORP ORD;TAIWAN;TW;0.000441
CIMSA.IS;CIMSA CIMENTO SANAYI VE TICARET AS ORD;TURKEY;TR;0.000338
LPKR.JK;LIPPO KARAWACI TBK PT ORD;INDONESIA;ID;0.000233
2352.TW;QISDA CORP ORD;TAIWAN;TW;0.00205
2845.TW;FAR EASTERN INTERNATIONAL BANK ORD;TAIWAN;TW;0.000768
BPCC.KW;BOUBYAN PETROCHEMICAL COMPANY KSCP ORD;KUWAIT;KW;0.000665
2539.TW;SAKURA DEVELOPMENT CO LTD ORD;TAIWAN;TW;0.000238
2707.TW;FORMOSA INTERNATIONAL HOTELS CORP ORD;TAIWAN;TW;0.000392
KCEf.BK;KCE ELECTRONICS PCL ORD;THAILAND;TH;0.000494
2101.TW;NANKANG RUBBER TIRE CORP LTD ORD;TAIWAN;TW;0.000538
2812.TW;TAICHUNG COMMERCIAL BANK CO LTD ORD;TAIWAN;TW;0.001468
1440.TW;TAINAN SPINNING CO LTD ORD;TAIWAN;TW;0.000581
1802.TW;TAIWAN GLASS IND CORP ORD;TAIWAN;TW;0.000526
VSID.KL;VS INDUSTRY BHD ORD;MALAYSIA;MY;0.000362
1215.TW;CHAROEN POKPHAND ENTERPRISE TAIWAN CO LTD ORD;TAIWAN;TW;0.000505
UNIP6.SA;UNIPAR CARBOCLORO SA;BRAZIL;BR;0.000664
INTP.JK;INDOCEMENT TUNGGAL PRAKARSA TBK PT ORD;INDONESIA;ID;0.000579
INLJ.J;INVESTEC LTD ORD;SOUTH AFRICA;ZA;0.001396
WBOJ.J;WILSON BAYLY HOLMES - OVCON LTD ORD;SOUTH AFRICA;ZA;0.000363
2542.TW;HIGHWEALTH CONSTRUCTION CORP ORD;TAIWAN;TW;0.001351
AUTr.AT;AUTOHELLAS SA ORD;GREECE;GR;0.000278
QNNC.QA;QATAR NAVIGATION QPSC ORD;QATAR;QA;0.002151
