Date;internalNumber;country;Final_Weight
2023-12-18;IN20OV;IN;0.000542231
2023-12-18;BR1148;BR;0.000644894
2023-12-18;TW01F5;TW;0.000747333
2023-12-18;IN12JR;IN;0.000808456
2023-12-18;IN40FO;IN;0.000689307
2023-12-18;SA24JR;SA;0.000516639
2023-12-18;TW022T;TW;0.001137193
2023-12-18;593493;TR;0.000468507
2023-12-18;IN06T4;IN;0.000872757
2023-12-18;SA24AI;SA;0.000390444
2023-12-18;IN706I;IN;0.001135512
2023-12-18;IN035D;IN;0.000592843
2023-12-18;IN80AN;IN;0.000488386
2023-12-18;KR00U5;KR;0.000508332
2023-12-18;KR087Q;KR;0.000676285
2023-12-18;IN12NV;IN;0.000829606
2023-12-18;IN317G;IN;0.000666425
2023-12-18;KR61WE;KR;0.000856258
2023-12-18;IN122A;IN;0.000581041
2023-12-18;ZA00R0;ZA;0.00091825
2023-12-18;IN13AJ;IN;0.000864115
2023-12-18;IN50Z9;IN;0.000393525
2023-12-18;IN02V2;IN;0.000474939
2023-12-18;IN60OZ;IN;0.000407741
2023-12-18;457746;HU;0.000485129
2023-12-18;MX00WF;MX;0.000362221
2023-12-18;IN70R3;IN;0.00053476
2023-12-18;TH21IV;TH;0.000398838
2023-12-18;TW023U;TW;0.000822502
2023-12-18;KW205N;KW;0.00050616
2023-12-18;TW010Q;TW;0.001079232
2023-12-18;ET024;TR;0.000399425
2023-12-18;588663;TR;0.000538391
2023-12-18;KR11JW;KR;0.000685701
2023-12-18;CO0066;CO;0.00052473
2023-12-18;597895;PL;0.000711636
2023-12-18;IN11LS;IN;0.000496151
2023-12-18;KR034I;KR;0.000837153
2023-12-18;MY309W;MY;0.000800277
2023-12-18;SA218D;SA;0.000573841
2023-12-18;IN0308;IN;0.000572736
2023-12-18;B03MVN;TR;0.00020379
2023-12-18;IN071D;IN;0.000469179
2023-12-18;IN60R2;IN;0.0004737
2023-12-18;CN2D0E;CN;0.000665872
2023-12-18;IN313C;IN;0.000334822
2023-12-18;PH703G;PH;0.000376122
2023-12-18;IN20IP;IN;0.000383427
2023-12-18;IN0BM2;IN;0.000434604
2023-12-18;IN617J;IN;0.000552686
2023-12-18;TW055Z;TW;0.001191698
2023-12-18;CL0276;CL;0.000218909
2023-12-18;TW02PG;TW;0.000837991
2023-12-18;IN02Z6;IN;0.000760928
2023-12-18;ID30KI;ID;0.000323064
2023-12-18;IN801E;IN;0.000574425
2023-12-18;TR008S;TR;0.000203524
2023-12-18;IN81O2;IN;0.000743956
2023-12-18;IN50T3;IN;0.000562044
2023-12-18;KR12JX;KR;0.000683826
2023-12-18;IN13GP;IN;0.000590627
2023-12-18;SA24V3;SA;0.000494062
2023-12-18;IN70YA;IN;0.000394257
2023-12-18;IN10QW;IN;0.000309778
2023-12-18;401344;TR;0.000373213
2023-12-18;KR82EZ;KR;0.000445443
2023-12-18;TH20NZ;TH;0.000432372
2023-12-18;MY237W;MY;0.000495683
2023-12-18;ZA104E;ZA;0.00078293
2023-12-18;CN8FH3;CN;0.000662716
2023-12-18;AE21TK;AE;0.000858332
2023-12-18;KR10Q2;KR;0.000722915
2023-12-18;IN08S5;IN;0.000905509
2023-12-18;KR076O;KR;0.000563563
2023-12-18;IN04DM;IN;0.000784251
2023-12-18;442170;GR;0.000591267
2023-12-18;SA219E;SA;0.000455212
2023-12-18;TW11F6;TW;0.00113484
2023-12-18;KR15WD;KR;0.000768989
2023-12-18;KR01BN;KR;0.000740756
2023-12-18;IN06GR;IN;0.000877426
2023-12-18;EG005Z;EG;0.000535024
2023-12-18;TH80EW;TH;0.000392899
2023-12-18;IN81V9;IN;0.000517902
