,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
176998,2023-12-18,2054,595889,TRAISGEN91P9,IS FINANSAL KIRALAMA,TR,TRY,40201040.0,1.0,117782026.0,0.0001863375358287339
175278,2023-12-18,2054,TW142W,TW0004532007,Rechi,TW,TWD,50204000.0,1.0,250165058.0,0.00018616639785109067
174593,2023-12-18,2054,BR1115,BRANIMACNOR6,GAEC EDUCACAO ON,BR,BRL,40201010.0,1.0,227184068.0,0.000185364477687112
174586,2023-12-18,2054,BR804E,BRZAMPACNOR5,ZAMP,BR,BRL,40501040.0,1.0,320348537.0,0.00018527309320237313
175277,2023-12-18,2054,TW20C3,TW0004164009,CHC HEALTHCARE,TW,TWD,20102010.0,1.0,250091747.0,0.00018518427832715312
176640,2023-12-18,2054,MY22PD,MYL5180TO003,CAPITALAND MALAYSIA TRUST,MY,MYR,35102045.0,1.0,112825849.0,0.00018490473332374578
174923,2023-12-18,2054,IN08IV,INE603A01013,PRAKASH INDUSTRIES,IN,INR,55102010.0,1.0,212789782.0,0.0001845939612706345
176983,2023-12-18,2054,TR701S,TREAIGY00017,AKYP GMYO,TR,TRY,35102000.0,1.0,142340877.0,0.0001835982199082286
175261,2023-12-18,2054,TW14TN,TW0001709004,Formosan Union,TW,TWD,55201000.0,1.0,267424750.0,0.00018153936677316743
175275,2023-12-18,2054,TW20KB,TW0001760007,PANION & BF BIOTECH.,TW,TWD,20103015.0,1.0,251205858.0,0.00018153820291068898
177030,2023-12-18,2054,401207,TRAAKGRT91O5,AKSIGORTA,TR,TRY,30302025.0,1.0,82789128.0,0.00018127757414123673
175533,2023-12-18,2054,ZA701H,ZAE000171963,KAP LIMITED,ZA,ZAR,50203000.0,1.0,241894381.0,0.00018112671963893025
175764,2023-12-18,2054,KR11GT,KR7011930005,SHINSUNG E&G,KR,KRW,60102020.0,1.0,272874208.0,0.00018069083480790166
174942,2023-12-18,2054,IN822H,INE883N01014,PARAG MILK FOODS,IN,INR,45102020.0,1.0,176746233.0,0.0001797373801176847
175686,2023-12-18,2054,KR62L4,KR7052020005,STCUBE,KR,KRW,10102015.0,1.0,360289917.0,0.00017959064453359144
177061,2023-12-18,2054,TR11VH,TRENATU00026,NATUREL ENERJI,TR,TRY,60102020.0,1.0,67863148.0,0.0001795180179103111
177043,2023-12-18,2054,TR20F1,TRETEZL00021,EUROPAP TEZOL KAGI,TR,TRY,55101015.0,1.0,76998889.0,0.00017948540791614035
176867,2023-12-18,2054,HK11HK,BMG9908J1053,ZHUGUANG HOLDINGS GROUP,CN,HKD,35101010.0,1.0,51224314.0,0.00017936200143426416
175778,2023-12-18,2054,KR804N,KR7001820000,SAMWHA CAPACITOR,KR,KRW,50202010.0,1.0,260650728.0,0.00017918391056815717
175293,2023-12-18,2054,TW802Z,TW0004739008,COREMAX,TW,TWD,55201000.0,1.0,223661914.0,0.0001791153161628167
177056,2023-12-18,2054,TR209V,TREATTP00023,ATP YAZILIM VE TEKNOLOJI,TR,TRY,10101010.0,1.0,69149220.0,0.000178799115766091
175313,2023-12-18,2054,TW00ZO,TW0001201002,Wei-Chuan Foods,TW,TWD,45102020.0,1.0,184269347.0,0.0001787380568625967
175806,2023-12-18,2054,KR51HY,KR7095700001,GENEXINE,KR,KRW,20103010.0,1.0,231690246.0,0.00017833439911113885
175399,2023-12-18,2054,PL008I,PLR220000018,Cyber Folks,PL,PLN,10101020.0,1.0,155490511.0,0.00017832099834429817
174592,2023-12-18,2054,BR16Y7,BRCSEDACNOR9,CRUZEIRO DO SUL EDUCACIONAL ON,BR,BRL,40201010.0,1.0,242046279.0,0.00017822504695729955
175259,2023-12-18,2054,TW14IC,TW0006277007,Aten Intl,TW,TWD,10102030.0,1.0,272189592.0,0.00017707232695458278
175269,2023-12-18,2054,TW111S,TW0002534005,Hung Sheng Const,TW,TWD,35101010.0,1.0,258317788.0,0.00017615020042246346
175270,2023-12-18,2054,TW14A4,TW0006206006,Flytech Tech,TW,TWD,10102030.0,1.0,258135899.0,0.000175740518312972
175305,2023-12-18,2054,TW04C5,TW0002536000,Hung Poo,TW,TWD,35101010.0,1.0,197209007.0,0.0001752556283215621
176660,2023-12-18,2054,MY228W,MYL5138OO002,HAP SENG PLTNS.HDG.,MY,MYR,45102010.0,1.0,90931479.0,0.00017517564049094808
175253,2023-12-18,2054,TW9042,KYG0407M1033,APEX INTERNATIONAL,TW,TWD,10102015.0,1.0,286824737.0,0.00017507928902742813
176853,2023-12-18,2054,CN8BUC,KYG532241042,KWG GROUP HOLDINGS,CN,HKD,35101010.0,1.0,116750224.0,0.00017472620274081962
175248,2023-12-18,2054,TW07EA,TW0005471007,Sonix Tech,TW,TWD,10102010.0,1.0,299267797.0,0.00017435525004669644
177393,2023-12-18,2054,ID5055,ID1000132707,BLUEBIRD GROUP PT,ID,IDR,40501015.0,1.0,106092488.0,0.0001743445075773142
175780,2023-12-18,2054,KR913O,KR7228760005,GENOMICTREE,KR,KRW,20103010.0,1.0,258656416.0,0.00017418334133312773
174929,2023-12-18,2054,IN803G,INE076B01028,SIYARAM SILK MILLS,IN,INR,40204020.0,1.0,201284390.0,0.00017386175555819347
175302,2023-12-18,2054,TW801Y,KYG8676P1037,TANVEX BIOPHARMA,TW,TWD,20103010.0,1.0,206082578.0,0.00017371225250391585
177033,2023-12-18,2054,TR20L7,TREESCR00029,ESCAR FILO KRLM. HZM. ANSI.,TR,TRY,40201040.0,1.0,81318635.0,0.0001736381395068216
174991,2023-12-18,2054,CN1RZQ,US44852D1081,HUYA ADR,CN,USD,10101020.0,1.0,305221676.0,0.00017303839726598113
175297,2023-12-18,2054,TW502W,TW0003708004,SWANCOR HOLDING,TW,TWD,50203010.0,1.0,216569860.0,0.00017302947573648571
177052,2023-12-18,2054,TR20G2,TREERCY00027,ERCIYAS CELIK BORU SANAYI AS,TR,TRY,55102010.0,1.0,70845240.0,0.0001727618608271478
176636,2023-12-18,2054,MY143S,MYL8532OO003,PERTAMA DIGITAL,MY,MYR,10101020.0,1.0,116196347.0,0.00017267942149771563
174584,2023-12-18,2054,BR701A,BRCVCBACNOR1,CVC BRA.OPD.E ACDV. ON,BR,BRL,40501015.0,1.0,343458107.0,0.00017243832293836872
175765,2023-12-18,2054,KR113G,KR7033640004,Nepes Corp,KR,KRW,10102010.0,1.0,272774251.0,0.000172242725208382
176830,2023-12-18,2054,HK10JL,KYG857AW1047,SUN KING TECHNOLOGY GROUP,CN,HKD,10102015.0,1.0,213803643.0,0.00017154115553666963
