Date,Internal_Number,startDate,endDate,max_difference
2021-03-22 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2021-03-22 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2021-03-22 00:00:00.000000,VN103M,2012-03-19 00:00:00.000000,2021-09-19 00:00:00.000000,0.221100000
2021-03-22 00:00:00.000000,VN70D2,2017-09-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.564800000
2021-03-22 00:00:00.000000,VN00DV,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.656500000
2021-03-22 00:00:00.000000,VN803T,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.391500000
2021-03-22 00:00:00.000000,VN703S,2017-03-20 00:00:00.000000,2024-06-09 00:00:00.000000,0.098000000
2021-09-20 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2021-09-20 00:00:00.000000,VN806W,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.981600000
2021-09-20 00:00:00.000000,VN212N,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.936300000
2021-09-20 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2021-09-20 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2021-09-20 00:00:00.000000,VN707W,2018-06-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.286700000
2021-09-20 00:00:00.000000,VN102L,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.559200000
2021-09-20 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2021-09-20 00:00:00.000000,VN803T,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.391500000
2021-09-20 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2021-09-20 00:00:00.000000,VN703S,2017-03-20 00:00:00.000000,2024-06-09 00:00:00.000000,0.098000000
2021-09-20 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2021-09-20 00:00:00.000000,VN70D2,2017-09-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.564800000
2022-03-21 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2022-03-21 00:00:00.000000,VN212N,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.936300000
2022-03-21 00:00:00.000000,VN803T,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.391500000
2022-03-21 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
2022-03-21 00:00:00.000000,VN806W,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.981600000
2022-03-21 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2022-03-21 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2022-03-21 00:00:00.000000,VN707W,2018-06-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.286700000
2022-03-21 00:00:00.000000,VN202M,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2022-03-21 00:00:00.000000,VN102L,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.559200000
2022-03-21 00:00:00.000000,VN703S,2017-03-20 00:00:00.000000,2024-06-09 00:00:00.000000,0.098000000
2022-03-21 00:00:00.000000,VN20I2,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.660200000
2022-03-21 00:00:00.000000,VN70D2,2017-09-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.564800000
2022-03-21 00:00:00.000000,VN00AS,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.677700000
2022-03-21 00:00:00.000000,VN10VE,2021-09-20 00:00:00.000000,2024-06-09 00:00:00.000000,0.820200000
2022-03-21 00:00:00.000000,VN224Q,2015-09-21 00:00:00.000000,2024-06-09 00:00:00.000000,0.510000000
2022-03-21 00:00:00.000000,VN403P,2014-03-24 00:00:00.000000,2022-09-26 00:00:00.000000,0.579600000
2022-09-19 00:00:00.000000,VN006O,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.629500000
2022-09-19 00:00:00.000000,VN806W,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.981600000
2022-09-19 00:00:00.000000,VN00AS,2013-03-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.677700000
2022-09-19 00:00:00.000000,VN212N,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.936300000
2022-09-19 00:00:00.000000,VN803T,2018-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.391500000
2022-09-19 00:00:00.000000,VN21RC,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.550300000
2022-09-19 00:00:00.000000,VN707W,2018-06-18 00:00:00.000000,2024-06-09 00:00:00.000000,0.286700000
2022-09-19 00:00:00.000000,VN20L5,2012-03-19 00:00:00.000000,2024-06-09 00:00:00.000000,0.571300000
2022-09-19 00:00:00.000000,VN206Q,2014-09-22 00:00:00.000000,2024-06-09 00:00:00.000000,0.654100000
