,Date,Index_Symbol,Internal_Number,ISIN,SEDOL,RIC,Instrument_Name,Country,Currency,Exchange,ICB,Shares,Free_Float,Capfactor,Weightfactor,Close_unadjusted_local,FX_local_to_Index_Currency,Mcap_Units_local,Mcap_Units_Index_Currency,Weight,Unnamed: 0,Cutoff,Internal_Number_Cutoff,Shares_Cutoff,Close_unadjusted_local_Cutoff,FX_local_to_Index_Currency_Cutoff,Capfactor_Cutoff,Mcap_Units_Index_Currency_Cutoff,InfoCode
1478,2023-09-18,SWESCGV,HK20VY,KYG2762W1069,BQP9JS4,9886.HK,DINGDANG HEALTH TECHNOLOGY GRO,CN,HKD,Stock Exchange of Hong Kong,45201015,1341472897.0,0.5116,1.0,,2.4,0.1278756,1647114082,210625743.0,0.01963,53,2023-08-31,HK20VY,1341472897.0,2.65,0.1275224,1.0,231923614.0,357710.0
1479,2023-09-18,SWESCGV,KR71GZ,KR7281820001,BD3S0S9,281820.KS,K C Tech Co Ltd,KR,KRW,Korea Exchange,10102020,20861556.0,0.5951,1.0,,22450.0,0.0007551,278710284400,210448031.0,0.01962,53,2023-08-31,KR71GZ,20861556.0,21850.0,0.0007566,1.0,205235740.0,302453.0
1480,2023-09-18,SWESCGV,KR19M7,KR7100120005,B3F2324,100120.KQ,VIEWORKS,KR,KRW,Korea Exchange,20102010,10001865.0,0.8548,1.0,,32600.0,0.0007551,278716764400,210452930.0,0.01962,53,2023-08-31,KR19M7,10001865.0,30700.0,0.0007566,1.0,198586070.0,210906.0
1481,2023-09-18,SWESCGV,ZA20ZA,ZAE000170049,B7C6V89,PPCJ.J,PPC,ZA,ZAR,Johannesburg Stock Exchange,50101030,1553764624.0,0.8925,1.0,,2.88,0.0526074,3993796590,210103099.0,0.01959,53,2023-08-31,ZA20ZA,1553764624.0,2.6,0.0528123,1.0,190415208.0,46622.0
1482,2023-09-18,SWESCGV,TW404X,TW0008114000,B015YY5,8114.TW,POSIFLEX TECHNOLOGIES,TW,TWD,Taiwan Stock Exchange,10102030,75515772.0,0.8313,1.0,,107.0,0.0312774,6717059927,210092171.0,0.01958,53,2023-08-31,TW404X,75515772.0,104.5,0.0314007,1.0,205992304.0,18695.0
1483,2023-09-18,SWESCGV,ZA20U5,ZAE000203238,BZ1C8N8,SACJ.J,SA CORPORATE REAL ESTATE,ZA,ZAR,Johannesburg Stock Exchange,35102000,2514732095.0,0.8128,1.0,,1.95,0.0526074,3985749782,209679872.0,0.01955,53,2023-08-31,ZA20U5,2514732095.0,1.88,0.0528123,1.0,202940275.0,42429.0
1484,2023-09-18,SWESCGV,KR607O,KR7003220001,B00GJN3,003220.KS,DAEWON PHARM.,KR,KRW,Korea Exchange,20103015,21964670.0,0.7305,1.0,,17300.0,0.0007551,277581804300,209595947.0,0.01954,53,2023-08-31,KR607O,21964670.0,17200.0,0.0007566,1.0,208803730.0,14168.0
1485,2023-09-18,SWESCGV,ZA502G,ZAE000248506,BD9FS68,FFBJ.J,Fortress REIT Ltd,ZA,ZAR,Johannesburg Stock Exchange,35101010,1093213028.0,0.6155,1.0,,5.92,0.0526074,3983405904,209556488.0,0.01953,53,2023-08-31,ZA502G,1093213028.0,6.13,0.0528123,1.0,217835243.0,260417.0
1486,2023-09-18,SWESCGV,TW1PAP,TW0006756000,BJRBJT0,6756.TW,VIA LABS,TW,TWD,Taiwan Stock Exchange,10102010,69002000.0,0.4371,1.0,,222.0,0.0312774,6695691828,209423833.0,0.01952,53,2023-08-31,TW1PAP,68759000.0,222.5,0.0314007,1.0,209020031.0,321585.0
1487,2023-09-18,SWESCGV,MY509Y,MYL5243OO000,BDFM6W5,VELE.KL,VELESTO ENERGY,MY,MYR,Bursa Malaysia,60101010,8215600000.0,0.4591,1.0,,0.26,0.2132649,980663310,209141161.0,0.0195,53,2023-08-31,MY509Y,8215600000.0,0.235,0.2155163,1.0,191026801.0,269398.0
