,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,exchange,ICB,Mcap_Units_Index_Currency,InfoCode,closePrice_Cutoff,freeFloat_Cutoff,Free_Float,Capfactor,Free_Float_Market_Cutoff,Full_Market_Cap_Cutoff,FOR_FF,Weight
7497,1999-03-22,903,KR1G91,,649678,KOREA FIRST BANK,KR,KRW,0,0,43572384,75504.0,1825.0,0.06,0.06,1.0,28723941.887999997,478732364.79999995,0.06,0.000239214
7506,1999-03-22,903,KR1G1T,,683735,SSANGYONG PAPER,KR,KRW,0,0,3312620,92084.0,12500.0,0.03,0.03,1.0,3294154.1231999993,109805137.43999998,0.03,1.82e-05
7526,1999-03-22,903,KR135K,,611352,SAM YOUNG ELTN.,KR,KRW,0,0,11239516,25452.0,8230.0,0.13,0.13,1.0,10524570.35136,80958233.472,0.13,6.17e-05
8028,1999-03-22,903,534025,,534025,FOLLI-FOLLIE,GR,EUR,0,0,16934994,44979.0,16.721024,0.06,0.06,1.0,14556298.161208319,242604969.353472,0.06,9.3e-05
8085,1999-03-22,903,TH117J,,679179,KGI SECURITIES,TH,THB,0,0,15844139,35054.0,7.0,0.03,0.1,1.0,16928295.761853505,169282957.61853504,0.1,8.7e-05
8217,1999-03-22,903,MY11UG,,650245,IOI PROPERTIES,MY,MYR,0,0,10439590,35184.0,4.0,0.11,0.11,1.0,10470467.181732358,95186065.28847599,0.11,5.73e-05
8324,1999-03-22,903,BR04DJ,,266777,CMPBRA.DE DISTB. PN,BR,BRL,0,0,46323867,42262.0,0.024,0.11,0.11,1.0,35793863.700883195,325398760.91712,0.11,0.00025432
8358,1999-03-22,903,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,18870566,27513.0,39.5,0.09,0.09,1.0,18940095.12863842,210445501.42931578,0.09,0.0001036
8423,1999-06-21,901,534025,,534025,FOLLI-FOLLIE,GR,EUR,0,0,21435514,44979.0,19.7211,0.06,0.06,1.0,16247988.680616,270799811.34360003,0.06,9.27e-05
8880,1999-06-21,901,KR135K,,611352,SAM YOUNG ELTN.,KR,KRW,0,0,17534088,25452.0,12600.0,0.13,0.13,1.0,16554963.2976,127345871.52,0.13,7.58e-05
8945,1999-06-21,901,KR00GR,,649092,KIA CORPORATION,KR,KRW,0,0,189961200,40852.0,8010.0,1.0,0.09,1.0,182150076.94199997,2023889743.7999997,0.09,0.000821199
8951,1999-06-21,901,KR1G91,,649678,KOREA FIRST BANK,KR,KRW,0,0,43655040,75504.0,2370.0,0.06,0.06,1.0,38325043.2384,638750720.64,0.06,0.00018872
8970,1999-06-21,901,TR103O,,508577,BOYNER BUYUK MAGAZACILIK LTD.,TR,TRY,0,0,680701,42280.0,19.5,1.0,0.01,1.0,790517.613181725,79051761.3181725,0.01,2.94e-06
9018,1999-06-21,901,PH1108,,632527,EQUITABLE PCI BANK,PH,PHP,0,0,100971241,44516.0,95.5,0.11,0.11,1.0,100689648.97263716,915360445.2057924,0.11,0.000436497
9050,1999-06-21,901,IN01CI,,615591,ACC,IN,INR,0,0,93965629,41381.0,181.0,0.42,0.32,0.4067797,93764931.65230739,720329484.0265151,0.13,0.000406212
9060,1999-06-21,901,IN14GQ,,613596,CAROL INFO SERVICES,IN,INR,0,0,19328875,31699.0,273.89991,0.39,0.39,0.24,20960364.65064675,223935519.77186698,0.09,8.36e-05
9114,1999-06-21,901,ID4076,,607758,BANK MAYBANK INDONESIA,ID,IDR,0,0,191737269,35120.0,250.0,1.0,0.09,1.0,183701970.23883265,2041133002.6536963,0.09,0.000828877
9140,1999-06-21,901,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,18777328,27513.0,41.0,0.09,0.09,1.0,20034311.61026938,222603462.33632645,0.09,8.12e-05
9157,1999-06-21,901,BR04DJ,,266777,CMPBRA.DE DISTB. PN,BR,BRL,0,0,52616638,42262.0,0.032,0.11,0.11,1.0,57290874.3191664,520826130.17424,0.11,0.000227461
9314,1999-09-20,914,MY21OB,,643645,HONG LEONG FINL.GP.,MY,MYR,0,0,13412883,34379.0,4.0,0.03,0.03,1.0,14117977.890192384,470599263.0064128,0.03,5.19e-05
9368,1999-09-20,914,BR04DJ,,266777,CMPBRA.DE DISTB. PN,BR,BRL,0,0,76040539,42262.0,0.04199,0.11,0.11,1.0,79626803.09947816,723880028.1770742,0.11,0.000294482
9413,1999-09-20,914,IN15Y9,,614346,D S Q SOFTWARE,IN,INR,0,0,8138644,45602.0,287.09986,0.07,0.07,1.0,9362036.796131264,133743382.80187519,0.07,3.15e-05
9557,1999-09-20,914,KR1HTM,,624935,DAEWOO TELECOM.,KR,KRW,0,0,8009841,94718.0,2675.0,0.07,0.07,1.0,8477798.588035,121111408.4005,0.07,3.1e-05
9983,1999-09-20,914,534025,,534025,FOLLI-FOLLIE,GR,EUR,0,0,41491758,44979.0,41.08693,0.06,0.06,1.0,34312361.50865688,571872691.810948,0.06,0.000160685
9993,1999-09-20,914,GR133E,,497491,INTERSAT,GR,EUR,0,0,20134629,160431.0,16.20192,0.06,0.06,1.0,16873577.85206016,281226297.53433603,0.06,7.8e-05
10005,1999-09-20,914,GR11KT,,519699,ALCO HES.ALUM.INDL.&. TRDG.,GR,EUR,0,0,90680132,43884.0,17.157853,0.07,0.14,1.0,62904793.11917478,449319950.8512484,0.14,0.000351177
10146,1999-09-20,914,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,7809540,27513.0,38.5,0.09,0.04,1.0,7931267.3256228715,198281683.14057177,0.04,3.02e-05
10568,1999-12-20,913,ZA20ZA,,670174,PPC,ZA,ZAR,0,0,48963474,46622.0,48.0,0.12,0.12,1.0,46715091.734729104,389292431.12274253,0.12,0.000179326
10601,1999-12-20,913,GR11KT,,519699,ALCO HES.ALUM.INDL.&. TRDG.,GR,EUR,0,0,45389017,43884.0,19.851975,0.14,0.14,1.0,69522675.0367149,496590535.9765349,0.14,0.000166235
10655,1999-12-20,913,534025,,534025,FOLLI-FOLLIE,GR,EUR,0,0,33586457,44979.0,48.222794,0.06,0.06,1.0,38468145.068883285,641135751.1480547,0.06,0.000123009
10703,1999-12-20,913,KR1HTM,,624935,DAEWOO TELECOM.,KR,KRW,0,0,3064479,94718.0,1090.0,0.07,0.07,1.0,3524982.4555470003,50356892.2221,0.07,1.12e-05
10897,1999-12-20,913,MY21OB,,643645,HONG LEONG FINL.GP.,MY,MYR,0,0,18177988,34379.0,4.7199994,0.03,0.03,1.0,16692951.089424908,556431702.9808303,0.03,6.66e-05
10995,1999-12-20,913,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,8748716,27513.0,43.0,0.04,0.04,1.0,8428629.99642624,210715749.91065598,0.04,3.2e-05
11041,1999-12-20,913,TH20CO,,617305,CH KARNCHANG,TH,THB,0,0,7764705,2883.0,28.75,0.53,0.53,0.25,10277689.712062499,77567469.52499999,0.13,2.84e-05
11053,1999-12-20,913,TH11IU,,605640,INDL.& CMLBK.OF CHIN. (THAI),TH,THB,0,0,987788,40828.0,14.75,0.94,0.07,0.5212766,950289.6440707564,26042922.977682,0.04,3.62e-06
11056,1999-12-20,913,728887,,406780,BANK BPH,PL,PLN,0,0,12711606,3564.0,200.0,1.0,0.02,1.0,13223559.797461202,661177989.8730601,0.02,4.66e-05
11154,2000-03-20,944,KR1HTM,,624935,DAEWOO TELECOM.,KR,KRW,0,0,2844438,94718.0,820.0,0.07,0.07,1.0,2716081.858959,38801169.4137,0.07,1.02e-05
11575,2000-03-20,944,MY21OB,,643645,HONG LEONG FINL.GP.,MY,MYR,0,0,28243655,34379.0,8.1999999,0.03,0.03,1.0,28982519.69051153,966083989.6837176,0.03,0.00010099
11605,2000-03-20,944,534025,,534025,FOLLI-FOLLIE,GR,EUR,0,0,100423794,44979.0,21.104233,0.06,0.14,1.0,93845411.62945153,670324368.7817966,0.14,0.000359082
11626,2000-03-20,944,GR11KT,,519699,ALCO HES.ALUM.INDL.&. TRDG.,GR,EUR,0,0,34328491,43884.0,11.128779,0.14,0.14,1.0,37241032.191774644,266007372.7983903,0.14,0.000122747
11889,2000-03-20,944,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,9059911,27513.0,43.5,0.04,0.04,1.0,9252611.403189264,231315285.0797316,0.04,3.24e-05
11978,2000-03-20,944,728887,,406780,BANK BPH,PL,PLN,0,0,13173401,3564.0,183.0,0.01,0.02,1.0,12360353.158827893,618017657.9413947,0.02,4.71e-05
11996,2000-06-19,941,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,7133219,27513.0,37.0,0.04,0.04,1.0,7577457.367941649,189436434.19854122,0.04,2.93e-05
12053,2000-06-19,941,MY21OB,,643645,HONG LEONG FINL.GP.,MY,MYR,0,0,19950450,34379.0,6.7999993,0.03,0.03,1.0,24143342.655330453,804778088.5110152,0.03,8.2e-05
12421,2000-06-19,941,ZA20ZA,,670174,PPC,ZA,ZAR,0,0,37642049,46622.0,46.0,0.11,0.11,1.0,36524864.03396622,332044218.490602,0.11,0.000154756
12671,2000-06-19,941,IN086J,,612496,PFIZER,IN,INR,0,0,24381489,40815.0,1081.75,1.0,0.36,0.24,24708634.689486153,285979568.16534907,0.09,0.000100238
12846,2000-06-19,941,IL0058,,688967,ISRAEL CORPORATION LTD.,IL,ILS,0,0,27637426,3024.0,712.0,0.03,0.03,1.0,25602215.209745612,853407173.6581872,0.03,0.000113624
12913,2000-06-19,941,728887,,406780,BANK BPH,PL,PLN,0,0,20104526,3564.0,210.0,1.0,0.03,1.0,20223157.692525484,674105256.4175161,0.03,8.27e-05
12967,2000-09-18,1139,ZA12S4,,617522,PRISM,ZA,ZAR,0,0,17765107,85377.0,7.0,0.16,0.09,1.0,16574710.629303807,184163451.436709,0.09,7.32e-05
12986,2000-09-18,1139,MY21OB,,643645,HONG LEONG FINL.GP.,MY,MYR,0,0,21012735,34379.0,7.0,0.03,0.03,1.0,24679082.781246997,822636092.7082332,0.03,8.66e-05
13049,2000-09-18,1139,MY21VI,,683618,BERJAYA LAND,MY,MYR,0,0,32590123,34420.0,1.33,0.14,0.14,1.0,40440759.68140314,288862569.15287954,0.14,0.000134346
13098,2000-09-18,1139,MY23K9,,625807,DIALOG GROUP,MY,MYR,0,0,13044672,41951.0,8.8999997,0.07,0.07,1.0,13963385.24548203,199476932.0783147,0.07,5.38e-05
13205,2000-09-18,1139,KR15S9,,616698,G2R,KR,KRW,0,0,12000979,38976.0,57200.0,0.1,0.1,1.0,11773491.680808,117734916.80808,0.1,4.95e-05
13210,2000-09-18,1139,KR04BQ,,619525,UNISON,KR,KRW,0,0,1851738,19939.0,5380.0,0.03,0.03,1.0,2615827.2634799997,87194242.116,0.03,7.63e-06
13950,2000-09-18,1139,IL0058,,688967,ISRAEL CORPORATION LTD.,IL,ILS,0,0,31124879,3024.0,848.0,0.03,0.03,1.0,31479351.455169696,1049311715.1723232,0.03,0.000128305
13975,2000-09-18,1139,IL205A,,602609,HADERA PAPER,IL,ILS,0,0,32316382,3148.0,283.0,0.12,0.12,1.0,32839418.285965655,273661819.0497138,0.12,0.000133217
13991,2000-09-18,1139,626376,,626376,DENWAY MOTORS,CN,HKD,0,0,39191416,26360.0,1.27,0.3,0.11,1.0,46501403.008264825,422740027.34786206,0.11,0.000161558
14019,2000-09-18,1139,CL01US,,245656,EMPRESAS IANSA,CL,CLP,0,0,5297673,27513.0,29.5,0.04,0.04,1.0,5574149.178998257,139353729.47495642,0.04,2.18e-05
14046,2000-09-18,1139,414933,,414933,BUDIMEX,PL,PLN,0,0,11684354,6558.0,27.5,0.14,0.14,1.0,13964775.710896013,99748397.93497151,0.14,4.82e-05
