,frm_currency,to_currency,cutoff_date,exchange_rate
0,SAR,USD,1999-02-26,0.26648903573500715
0,KWD,USD,1999-02-26,3.279763857002296
0,QAR,USD,1999-02-26,0.2746498365641218
0,AED,USD,1999-02-26,0.2722496280797831
0,KRW,USD,1999-05-31,0.0008422346
0,MYR,USD,1999-05-31,0.236769757
0,HKD,USD,1999-05-31,0.1289540537
0,TWD,USD,1999-05-31,0.0305420499
0,ILS,USD,1999-05-31,0.2432476598
0,EUR,USD,1999-05-31,1.042
0,PHP,USD,1999-05-31,0.0263116164
0,THB,USD,1999-05-31,0.0269357929
0,USD,USD,1999-05-31,1.0
0,CLP,USD,1999-05-31,0.0020360368
0,MXN,USD,1999-05-31,0.103061174
0,ZAR,USD,1999-05-31,0.161028615
0,EGP,USD,1999-05-31,0.2926063733
0,HUF,USD,1999-05-31,0.0041812143
0,TRY,USD,1999-05-31,2.4569311987
0,IDR,USD,1999-05-31,0.0001237376
0,CNY,USD,1999-05-31,0.1206982484
0,INR,USD,1999-05-31,0.0233181671
0,ARS,USD,1999-05-31,0.9993287618
0,BRL,USD,1999-05-31,0.5802430149
0,PLN,USD,1999-05-31,0.2518124941
0,GRD,USD,1999-05-31,0.0032172962
0,CZK,USD,1999-05-31,0.0277227963
0,MAD,USD,1999-05-31,0.1003505528
0,AUD,USD,1999-05-31,0.6486
0,RUB,USD,1999-05-31,0.0404200316
0,COP,USD,1999-05-31,0.0006010133
0,SGD,USD,1999-05-31,0.5798782256
0,JOD,USD,1999-05-31,1.4043126873
0,JPY,USD,1999-05-31,0.0082304527
0,GBP,USD,1999-05-31,1.6020506248
0,PKR,USD,1999-05-31,0.0192335781
0,SAR,USD,1999-05-31,0.266631130069651
0,KWD,USD,1999-05-31,3.2637087434985697
0,QAR,USD,1999-05-31,0.27466493898757843
0,AED,USD,1999-05-31,0.27225712180388856
0,KRW,USD,1999-08-31,0.0008470588
0,MYR,USD,1999-08-31,0.2631421792
0,HKD,USD,1999-08-31,0.1287863177
0,TWD,USD,1999-08-31,0.0314031431
0,ILS,USD,1999-08-31,0.2357327033
0,EUR,USD,1999-08-31,1.0562
0,PHP,USD,1999-08-31,0.0252035469
0,THB,USD,1999-08-31,0.0260709677
0,USD,USD,1999-08-31,1.0
0,CLP,USD,1999-08-31,0.0019313431
0,MXN,USD,1999-08-31,0.1066157915
0,ZAR,USD,1999-08-31,0.1644121356
0,EGP,USD,1999-08-31,0.2928277659
0,HUF,USD,1999-08-31,0.0041616134
0,TRY,USD,1999-08-31,2.2440590332
0,IDR,USD,1999-08-31,0.0001302869
0,CNY,USD,1999-08-31,0.1208107497
0,INR,USD,1999-08-31,0.0230045793
0,ARS,USD,1999-08-31,1.0000017043
0,BRL,USD,1999-08-31,0.5202445415
0,PLN,USD,1999-08-31,0.2511175409
0,GRD,USD,1999-08-31,0.0032384468
0,CZK,USD,1999-08-31,0.0288387055
0,MAD,USD,1999-08-31,0.1017916173
0,AUD,USD,1999-08-31,0.6392
0,RUB,USD,1999-08-31,0.039862502
0,COP,USD,1999-08-31,0.0005142466
0,SGD,USD,1999-08-31,0.5938947618
0,JOD,USD,1999-08-31,1.4063914968
0,JPY,USD,1999-08-31,0.0091190954
0,GBP,USD,1999-08-31,1.6041065127
0,PKR,USD,1999-08-31,0.019276185
0,SAR,USD,1999-08-31,0.266631130069651
0,KWD,USD,1999-08-31,3.278689707068419
0,QAR,USD,1999-08-31,0.2746273217989309
0,AED,USD,1999-08-31,0.2722645492253352
0,KRW,USD,1999-11-30,0.0008643402
0,MYR,USD,1999-11-30,0.2636751115
0,HKD,USD,1999-11-30,0.1287664177
0,TWD,USD,1999-11-30,0.0316433264
0,ILS,USD,1999-11-30,0.2369366842
0,EUR,USD,1999-11-30,1.0089
