,frm_currency,to_currency,cutoff_date,exchange_rate
0,JPY,USD,1999-08-31,0.0091190954
0,GBP,USD,1999-08-31,1.6041065127
0,PKR,USD,1999-08-31,0.01927710843373494
0,SAR,USD,1999-08-31,0.266631130069651
0,KWD,USD,1999-08-31,3.278689707068419
0,QAR,USD,1999-08-31,0.2746273217989309
0,AED,USD,1999-08-31,0.2722645492253352
0,KRW,USD,1999-10-29,0.0008336807002917883
0,MYR,USD,1999-10-29,0.26315801246542664
0,HKD,USD,1999-10-29,0.1287415513
0,TWD,USD,1999-10-29,0.031506010953064705
0,ILS,USD,1999-10-29,0.23539389142494418
0,EUR,USD,1999-10-29,1.0544
0,PHP,USD,1999-10-29,0.02490661327618627
0,THB,USD,1999-10-29,0.025906741791727358
0,USD,USD,1999-10-29,1.0
0,CLP,USD,1999-10-29,0.0018219919013917575
0,MXN,USD,1999-10-29,0.10381521216138735
0,ZAR,USD,1999-10-29,0.16273394061734356
0,EGP,USD,1999-10-29,0.29154532550219264
0,HUF,USD,1999-10-29,0.0041107434279489445
0,TRY,USD,1999-10-29,2.079996672005325
0,IDR,USD,1999-10-29,0.00014652014652014652
0,CNY,USD,1999-10-29,0.12080504919682945
0,INR,USD,1999-10-29,0.023046784973496198
0,ARS,USD,1999-10-29,1.000500270145078
0,BRL,USD,1999-10-29,0.5122951607011005
0,PLN,USD,1999-10-29,0.2369669144898254
0,GRD,USD,1999-10-29,0.0031996928
0,CZK,USD,1999-10-29,0.02869853355659262
0,MAD,USD,1999-10-29,0.10162911677447721
0,AUD,USD,1999-10-29,0.6384
0,RUB,USD,1999-10-29,0.03830684364019822
0,COP,USD,1999-10-29,0.0005067267982467252
0,SGD,USD,1999-10-29,0.6016847172
0,JOD,USD,1999-10-29,1.4066678221036157
0,JPY,USD,1999-10-29,0.0096024582
0,GBP,USD,1999-10-29,1.6444663707
0,PKR,USD,1999-10-29,0.01927153594141453
0,SAR,USD,1999-10-29,0.2666454345795292
0,KWD,USD,1999-10-29,3.2959790143697765
0,QAR,USD,1999-10-29,0.2746498365641218
0,AED,USD,1999-10-29,0.2722645492253352
0,KRW,USD,2000-02-29,0.0008840912205321345
0,MYR,USD,2000-02-29,0.26315801246542664
0,HKD,USD,2000-02-29,0.1284868108
0,TWD,USD,2000-02-29,0.032541494636055275
0,ILS,USD,2000-02-29,0.24719436252491936
0,EUR,USD,2000-02-29,0.96405
0,PHP,USD,2000-02-29,0.02440214977082965
0,THB,USD,2000-02-29,0.026236396067888353
0,USD,USD,2000-02-29,1.0
0,CLP,USD,2000-02-29,0.001991437178590752
0,MXN,USD,2000-02-29,0.1067463911340205
0,ZAR,USD,2000-02-29,0.15761186750534883
0,EGP,USD,2000-02-29,0.2918005617861136
0,HUF,USD,2000-02-29,0.003748691191329187
0,TRY,USD,2000-02-29,1.7397356812620517
0,IDR,USD,2000-02-29,0.00013468013468013467
0,CNY,USD,2000-02-29,0.12079337377801497
0,INR,USD,2000-02-29,0.022929838043343722
0,ARS,USD,2000-02-29,1.0001000200030006
0,BRL,USD,2000-02-29,0.5651314569235893
0,PLN,USD,2000-02-29,0.24009603841536614
0,GRD,USD,2000-02-29,0.0028899228
0,CZK,USD,2000-02-29,0.027064707683429636
0,MAD,USD,2000-02-29,0.09626492106276473
0,AUD,USD,2000-02-29,0.6174
0,RUB,USD,2000-02-29,0.034843209217060196
0,COP,USD,2000-02-29,0.0005134129123347452
0,SGD,USD,2000-02-29,0.5803830528
0,JOD,USD,2000-02-29,1.408450743900021
0,JPY,USD,2000-02-29,0.0090719405
0,GBP,USD,2000-02-29,1.579778831
0,PKR,USD,2000-02-29,0.019269682873048054
0,SAR,USD,2000-02-29,0.2666454345795292
0,KWD,USD,2000-02-29,3.2594535806385063
0,QAR,USD,2000-02-29,0.2747405062181744
0,AED,USD,2000-02-29,0.27227196963884376
0,KRW,USD,2000-04-28,0.0009011038522189682
0,MYR,USD,2000-04-28,0.2631579432133053
0,HKD,USD,2000-04-28,0.1283927792
0,TWD,USD,2000-04-28,0.03265786099697461
0,ILS,USD,2000-04-28,0.24773937817416078
0,EUR,USD,2000-04-28,0.90875
0,PHP,USD,2000-04-28,0.024221878804424533
0,THB,USD,2000-04-28,0.02625706209942226
0,USD,USD,2000-04-28,1.0
0,CLP,USD,2000-04-28,0.0019404293619095965
0,MXN,USD,2000-04-28,0.10623041489595172
0,ZAR,USD,2000-04-28,0.14750352278975892
0,EGP,USD,2000-04-28,0.2910107309042978
0,HUF,USD,2000-04-28,0.0035228013316189032
0,TRY,USD,2000-04-28,1.6371703416311183
0,IDR,USD,2000-04-28,0.00012618296529968455
0,CNY,USD,2000-04-28,0.12077441132257208
0,INR,USD,2000-04-28,0.02290557912565098
0,ARS,USD,2000-04-28,1.0007005404133162
0,BRL,USD,2000-04-28,0.5541702223613559
0,PLN,USD,2000-04-28,0.2236636199357468
0,GRD,USD,2000-04-28,0.0027107617
