,frm_currency,to_currency,date,exchange_rate,cutoff_date
0,CNY,USD,1998-11-29,0.120799219,1998-11-30
0,INR,USD,1998-11-29,0.023504525,1998-11-30
0,ARS,USD,1998-11-29,1.0005002701,1998-11-30
0,BRL,USD,1998-11-29,0.833263895,1998-11-30
0,PLN,USD,1998-11-29,0.288101428,1998-11-30
0,GRD,USD,1998-11-29,0.0034817729,1998-11-30
0,CZK,USD,1998-11-29,0.03259985,1998-11-30
0,MAD,USD,1998-11-29,0.1060996869,1998-11-30
0,AUD,USD,1998-11-29,0.6336,1998-11-30
0,RUB,USD,1998-11-29,0.055248646,1998-11-30
0,COP,USD,1998-11-29,0.00064704,1998-11-30
0,SGD,USD,1998-11-29,0.6056935191,1998-11-30
0,JOD,USD,1998-11-29,1.4044944609,1998-11-30
0,JPY,USD,1998-11-29,0.0081142486,1998-11-30
0,GBP,USD,1998-11-29,1.6534391534,1998-11-30
0,PKR,USD,1998-11-29,0.019940188,1998-11-30
0,SAR,USD,1998-11-29,0.2666168981790066,1998-11-30
0,KWD,USD,1998-11-29,3.2970659377249527,1998-11-30
0,QAR,USD,1998-11-29,0.2744799931691545,1998-11-30
0,AED,USD,1998-11-29,0.27225712180388856,1998-11-30
0,KRW,USD,1999-02-25,0.0008155885,1999-02-26
0,MYR,USD,1999-02-25,0.1838452181,1999-02-26
0,HKD,USD,1999-02-25,0.129068897,1999-02-26
0,TWD,USD,1999-02-25,0.0301686348,1999-02-26
0,ILS,USD,1999-02-25,0.2465031058,1999-02-26
0,EUR,USD,1999-02-25,1.1032,1999-02-26
0,PHP,USD,1999-02-25,0.0255641545,1999-02-26
0,THB,USD,1999-02-25,0.0266207865,1999-02-26
0,USD,USD,1999-02-25,1.0,1999-02-26
0,CLP,USD,1999-02-25,0.0020019668,1999-02-26
0,MXN,USD,1999-02-25,0.1000380855,1999-02-26
0,ZAR,USD,1999-02-25,0.1615984418,1999-02-26
0,EGP,USD,1999-02-25,0.2919987627,1999-02-26
0,HUF,USD,1999-02-25,0.004351134,1999-02-26
0,TRY,USD,1999-02-25,2.8357025021,1999-02-26
0,IDR,USD,1999-02-25,0.0001136347,1999-02-26
0,CNY,USD,1999-02-25,0.1205801743,1999-02-26
0,INR,USD,1999-02-25,0.0234585708,1999-02-26
0,ARS,USD,1999-02-25,0.9983714022,1999-02-26
0,BRL,USD,1999-02-25,0.4893543038,1999-02-26
0,PLN,USD,1999-02-25,0.2560996437,1999-02-26
