,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
175331,2023-12-18,2034,TW80A7,TW0006416001,CASWELL,TW,TWD,15101010.0,1.0,161053807.0,0.00012841161146695215
174953,2023-12-18,2034,IN60Q1,INE107A01015,TAMIL NADU NWPT.& PAPERS,IN,INR,55101015.0,1.0,143081849.0,0.00012809618018264627
177395,2023-12-18,2034,ID013Z,ID1000114002,PP (PERSERO),ID,IDR,50101010.0,1.0,98797770.0,0.00012774090931272133
177272,2023-12-18,2034,TH20LX,TH0748010Z04,UNIVANICH PALM OIL,TH,THB,45102010.0,0.5416601,75280278.0,0.0001276856608609828
177396,2023-12-18,2034,ID20TQ,ID1000099500,RAMAYANA LESTARI SENTOSA,ID,IDR,40401010.0,1.0,98791920.0,0.00012750038299075837
177131,2023-12-18,2034,B03MY2,TRATIREW91D1,MONDI TURKEY OLUKLU MUKAVVA KAGIT,TR,TRY,55101015.0,1.0,28076699.0,0.00012740803144378385
176689,2023-12-18,2034,MY601R,MYL5517OO007,SHANGRI-LA HOTELS (MAL.),MY,MYR,40501025.0,1.0,49204586.0,0.00012666841899344942
177091,2023-12-18,2034,B03MV8,TRAKARTN91D4,KARTONSAN,TR,TRY,50203030.0,1.0,44310089.0,0.00012653182735875026
175001,2023-12-18,2034,CN1RVM,US5288771034,LEXINFINTECH HOLDINGS ADR,CN,USD,30201020.0,1.0,168050658.0,0.00012597636704874042
177402,2023-12-18,2034,ID3031,ID1000107600,WIJAYA KARYA,ID,IDR,50101010.0,1.0,48453275.0,0.0001258735293070316
176536,2023-12-18,2034,CL02HG,CL0000000449,SALFA CORPORATION,CL,CLP,50101015.0,1.0,208053032.0,0.00012575346836205158
176659,2023-12-18,2034,MY10PA,MYL5271OO001,PECCA GROUP,MY,MYR,40101010.0,1.0,91968366.0,0.00012450373824748258
175418,2023-12-18,2034,PL00MW,PLUNMOT00013,UNIMOT,PL,PLN,65102020.0,1.0,86192771.0,0.0001239542056896658
177463,2023-12-18,2034,EG7056,EGS75011C014,MM GRP INDUS.& INTL TRADE,EG,EGP,40203010.0,1.0,57446641.0,0.00012392737538838622
177265,2023-12-18,2034,TH10OZ,TH9882010001,NR INSTANT PRODUCE,TH,THB,45102020.0,1.0,83253054.0,0.00012345600931392607
176646,2023-12-18,2034,MY30J6,MYL5311OO005,CAPE EMS,MY,MYR,50202040.0,1.0,101467928.0,0.0001231644038133341
176670,2023-12-18,2034,MY10DY,MYL7179OO004,LAGENDA PROPERTIES,MY,MYR,35101010.0,1.0,76588911.0,0.00012311242990152078
177392,2023-12-18,2034,ID20GD,ID1000108400,ALAM SUTERA REALTY,ID,IDR,35101010.0,1.0,107202217.0,0.00012254944787082087
177399,2023-12-18,2034,ID5011,ID1000097207,ADHI KARYA PERSERO,ID,IDR,50101010.0,1.0,62574312.0,0.00012235200573502684
174906,2023-12-18,2034,IN18WA,INE754A01055,SUBEX,IN,INR,10101015.0,1.0,256707823.0,0.00012190219211642424
176908,2023-12-18,2034,KW21RA,KW0EQ0202832,ALIMTIAZ INVESTMENT,KW,KWD,30202010.0,1.0,166500503.0,0.00012153418812272987
177255,2023-12-18,2034,TH20Q2,TH0823010002,SOMBOON ADVANCE TECHNOLOGY,TH,THB,40101025.0,0.6992009,105370694.0,0.00012108001054605707
177259,2023-12-18,2034,TH22P3,THA490010008,HENG LEASING AND CAPITAL,TH,THB,30201020.0,0.5922379,97216565.0,0.00012096587973441018
174998,2023-12-18,2034,CN1SIA,US00851L1035,AGORA ADR,CN,USD,10101015.0,1.0,198932869.0,0.00011999192239936602
176644,2023-12-18,2034,MY20G2,MYL5071OO005,COASTAL CONTRACTS,MY,MYR,50206015.0,1.0,105321870.0,0.00011972328426999465
174938,2023-12-18,2034,IN81FT,INE231F01020,SASKEN TECHNOLOGIES,IN,INR,10101010.0,1.0,183983142.0,0.00011948853182052844
177036,2023-12-18,2034,518610,TRAALGYO91Q5,ALARKO GAYMEN.YATOTA.,TR,TRY,35102000.0,1.0,79743819.0,0.00011906377075131407
177031,2023-12-18,2034,TR202O,TRAVKGYO91Q3,VAKIF GAYMEN.YATOTA.,TR,TRY,35102000.0,1.0,81661673.0,0.00011890449913523106
177032,2023-12-18,2034,TR30K7,TREBLSM00027,BIRLESIM MUHENDISLIK ISITMA SOGUT,TR,TRY,50101025.0,1.0,81395729.0,0.00011880313464187822
175301,2023-12-18,2034,TW19FE,TW0001219004,Fwusow,TW,TWD,45102020.0,1.0,206087534.0,0.00011857385702036158
177260,2023-12-18,2034,TH012D,TH0818010Z05,UNITED PAPER,TH,THB,50203030.0,1.0,95657249.0,0.00011807895964009111
176616,2023-12-18,2034,MY90OH,MYL7233OO009,DUFU TECHNOLOGY,MY,MYR,10102030.0,1.0,150167458.0,0.0001179727100964374
177472,2023-12-18,2034,EG00JD,EGS690C1C010,RAYA HLDG.FOR TECH.& COMMS.,EG,EGP,10101010.0,1.0,36130230.0,0.00011743964044862423
177015,2023-12-18,2034,TR00CW,TREINDX00019,INDEKS BILGISAYAR SISTEMLERI,TR,TRY,10102030.0,1.0,100644938.0,0.00011732815215761111
176645,2023-12-18,2034,MY607X,MYL2658OO002,AJINOMOTO,MY,MYR,45102020.0,1.0,102189026.0,0.00011718646624154498
177104,2023-12-18,2034,TR12E1,TREAKFG00012,AKFEN GAYMEN.YATOTA.,TR,TRY,35102015.0,1.0,38465521.0,0.00011672953913639881
176630,2023-12-18,2034,MY21UH,MYL4383OO005,JAYA TIASA HOLDINGS,MY,MYR,45102010.0,1.0,124053507.0,0.00011669831747465986
176649,2023-12-18,2034,MY236V,MYL4324OO009,HENGYUAN REFINING,MY,MYR,60101020.0,1.0,97354877.0,0.00011638865654684877
177084,2023-12-18,2034,TR108T,TRAGOODY91E9,GOODYEAR LASTIKLERI,TR,TRY,40101015.0,1.0,47436916.0,0.00011626262097985321
177085,2023-12-18,2034,TR213Q,TREKNKA00026,KONYA KAGIT SANAYI VE TICARET,TR,TRY,55101015.0,1.0,47231203.0,0.0001162107411846815
174999,2023-12-18,2034,CN24UZ,CNE000000G39,SHANGHAI MECH.&ELECT. IND. 'B',CN,USD,50204000.0,1.0,192665392.0,0.00011515115302485949
176856,2023-12-18,2034,PH108,KYG2112Y1098,China Dongxiang Group Co. Ltd.,CN,HKD,40204020.0,1.0,106342804.0,0.00011500456067160516
177345,2023-12-18,2034,GR136H,GRS239003007,THRACE PLSTC.HLDG.&. COML.SA,GR,EUR,50203015.0,1.0,72454455.0,0.0001144388034971574
