,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB,Mcap_Units_Index_Currency,InfoCode,shares_Cutoff,freeFloat_Cutoff,Free_Float,Capfactor,Free_Float_Market_Cutoff,Full_Market_Cap_Cutoff,FOR_FF,Source
51114,2023-12-18,1148,CN2PUK,CNE100000P85,BD5C8H4,DFD NEW MATERIALS 'A' (CCS),CN,CNY,55201020.0,142179531.0,310910.0,1071210620.0,0.8857,0.8974,0.0668598,136640488.23224512,2277342058.0916696,0.059999984519999994,MID Cap Index
51130,2023-12-18,1148,CN2KN8,CNE000000DD4,BP3R9K5,MAANSHAN IRON & STL. 'A' (CCS),CN,CNY,55102010.0,136099042.0,309675.0,6036857186.0,0.4192,0.3906,0.1536098,136637069.94283748,2277284959.058853,0.059999987879999994,MID Cap Index
51231,2023-12-18,1148,CN2Z77,CNE100000P93,BD5LZV4,ZIBO QIXIANG TENGDA CHM. 'A' (CCS),CN,CNY,55201000.0,124603123.0,312074.0,2842833993.0,0.5409,0.4682,0.1281504,135625118.3204263,2260417987.6733913,0.06000001728,MID Cap Index
51135,2023-12-18,1148,CN789N,CNE0000007X9,BP3R6N7,ZHEJIANG DLY. DGT. CULT. GR. A (CCS),CN,CNY,40203040.0,138960272.0,309900.0,1265730523.0,0.5236,0.5236,0.1145913,135254104.79968947,2254234904.164502,0.06000000467999999,MID Cap Index
51215,2023-12-18,1148,CN7DVE,CNE000000CB0,BP3R626,SHANGHAI BAILIAN GROUP 'A' (CCS),CN,CNY,45201010.0,130659302.0,309770.0,1604449920.0,0.4705,0.4705,0.1275239,134999318.35178486,2249988828.570474,0.059999994949999996,MID Cap Index
51207,2023-12-18,1148,CN2WKH,CNE000000ZV9,BKP87M9,CHINA RAILWAY MTRL. CMPNY 'A' (CCS),CN,CNY,50206020.0,133867539.0,340851.0,6050353641.0,0.3223,0.3253,0.1844451,134906232.81590003,2248437549.7397475,0.05999999103,MID Cap Index
51235,2023-12-18,1148,CN2WXU,CNE100004JY8,BQ3RQ67,INNER MONGOLIA DAZHONG MI. 'A' (CCS),CN,CNY,55102010.0,125470810.0,355436.0,1508021588.0,0.2967,0.2967,0.2,133395924.4432433,2247993334.062071,0.059340000000000004,MID Cap Index
51189,2023-12-18,1148,CN2PC2,CNE100001F37,BHQPRQ2,GUANGDONG HONGDA HLDGS 'A' (CCS),CN,CNY,55102000.0,122801026.0,318391.0,748563082.0,0.6976,0.6976,0.0860092,134660952.29856855,2244348534.6640472,0.060000017919999996,MID Cap Index
51233,2023-12-18,1148,CN33DI,CNE100000WW3,BD6QVT8,GCL SY.INTG.TECH.'A' (CCS),CN,CNY,60102020.0,126980716.0,311510.0,5850316427.0,0.7079,0.7079,0.0847577,134383910.54514998,2239732744.6581736,0.05999997583,MID Cap Index
51223,2023-12-18,1148,CN2LI4,CNE000000CM7,BP3R1Y3,CETC DIGITAL TECHNOLOGY 'A' (CCS),CN,CNY,10101010.0,131404920.0,311394.0,685074346.0,0.6212,0.6212,0.0965873,133788416.69192809,2229805801.7183604,0.060000030759999996,MID Cap Index
50866,2023-12-18,1148,CN2IZI,CNE000001GR5,BP3RG37,Huafa Ind 'A' (CCS),CN,CNY,35101010.0,169018942.0,309596.0,2117161116.0,0.758,0.7366,0.0814553,133069881.0988809,2217832313.4479613,0.059999973979999996,MID Cap Index
51190,2023-12-18,1148,CN2L8U,CNE100001SM0,BTFRHR4,CHINA WAFER LEVEL CSP 'A' (CCS),CN,CNY,10102020.0,118974790.0,311281.0,653212346.0,0.7995,0.7995,0.0750469,132237743.17870787,2203962513.0396423,0.05999999655,MID Cap Index
51236,2023-12-18,1148,CN2ULG,CNE100000P02,BD5CKT0,SHENZHEN HEPALINK PHARM. 'A' (CCS),CN,CNY,20103015.0,125711605.0,311590.0,1247201704.0,0.2927,0.2927,0.2,128904874.2730493,2201996485.7029257,0.05854000000000001,MID Cap Index
51213,2023-12-18,1148,CN385F,CNE100000PX5,BL4P3Y2,COFCO CAPITAL HOLDINGS 'A' (CCS),CN,CNY,30301010.0,130259867.0,322458.0,2304105575.0,0.3086,0.3722,0.1612037,132024659.77053005,2200410367.5916057,0.06000001714,MID Cap Index
51237,2023-12-18,1148,CN2NH5,CNE1000019T0,BD5LYV7,YANTAI VALIANT FINE CHEMS.'A' (CCS),CN,CNY,55201020.0,125825553.0,311412.0,930130215.0,0.6752,0.6752,0.0888626,131792739.3897172,2196544649.013474,0.06000002752,MID Cap Index
51180,2023-12-18,1148,CN35T0,CNE100003LK5,BK4XS33,SICHUAN TEWAY FOOD GROUP 'A' (CCS),CN,CNY,45102020.0,121199167.0,322477.0,1065574914.0,0.3273,0.3273,0.1833181,131259459.91018608,2187657149.976509,0.06000001413,MID Cap Index
51229,2023-12-18,1148,CN2T0U,CNE000000QG9,BD5CLL9,XINXING PIPES 'A' (CCS),CN,CNY,55102010.0,124535146.0,311653.0,3990058776.0,0.6003,0.6003,0.09995,130933035.90956475,2182217810.7138653,0.05999998499999999,MID Cap Index
51241,2023-12-18,1148,CN4C9O,CNE1000056L9,BLC7SC3,BANK OF LANZHOU 'A' (CCS),CN,CNY,30101010.0,125541379.0,359956.0,5695697168.0,0.789,0.789,0.0760456,130832255.15279528,2180538370.873735,0.05999997840000001,MID Cap Index
51212,2023-12-18,1148,CN31LO,CNE0000011Z6,BHQPRG2,INFORE ENVM.TECH.GP.'A' (CCS),CN,CNY,50204000.0,129195021.0,318381.0,3179506670.0,0.3435,0.4411,0.1360236,130819991.88630782,2180332836.16988,0.060000009959999996,MID Cap Index
