,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight,SEDOL
33416,2023-12-18,2034,HK90T3,KYG609201085,MIDEA REAL ESTATE HOLDING,CN,HKD,35101010.0,1.0,190745024.0,0.00013802091845645811,BF55Q06
33417,2023-12-18,2034,TW07SO,TW0006116007,Hannstar Dis,TW,TWD,10102015.0,1.0,776843803.0,0.0005621152936983971,6381828
33418,2023-12-18,2034,TR8080,TREMLPC00021,MLP SAGLIK HIZMETLERI,TR,TRY,20101010.0,1.0,304086475.0,0.0002200334964947069,BD0MX96
33419,2023-12-18,2034,KR235L,KR7393890009,W-SCOPE CP,KR,KRW,50202010.0,1.0,634905011.0,0.0004594100066842511,BPLPZV4
33420,2023-12-18,2034,TH90BU,TH9301010004,DOHOME,TH,THB,40401025.0,1.0,369457396.0,0.00026733514750272775,BKFBJ88
33421,2023-12-18,2034,BR703C,BRSAPRACNPR6,CIA SANEAMENTO PN,BR,BRL,65102030.0,1.0,1212077194.0,0.0008770451991240754,2762085
33422,2023-12-18,2034,KR715O,KR7145720009,DENTIUM,KR,KRW,20102015.0,1.0,875649818.0,0.0006336101964399888,BF07GJ6
33423,2023-12-18,2034,KR14UA,KR7025900002,DONGWHA ENTERPRISE,KR,KRW,50101035.0,1.0,465170392.0,0.00033659197706038536,6222950
33424,2023-12-18,2034,IN062D,INE351F01018,JAIPRAKASH PWR.VENTURES,IN,INR,65101010.0,1.0,707278214.0,0.0005117784288859002,B0703M5
33425,2023-12-18,2034,PH106D,PHY1757W1054,CONVERGE INFO.& COMMS. TGSN.,PH,PHP,15102015.0,1.0,354499898.0,0.00025651207296857565,BMH5517
33426,2023-12-18,2034,KR013F,KR7000240002,HANKOOK & COMPANY,KR,KRW,40101025.0,1.0,369922183.0,0.0002676714620617205,6107422
33427,2023-12-18,2034,IN82BQ,INE970X01018,LEMON TREE HOTELS,IN,INR,40501025.0,1.0,731821093.0,0.0005295373755158564,BF2LSQ7
33428,2023-12-18,2034,TW1AHH,TW0002014008,CHUNG HUNG STEEL,TW,TWD,55102010.0,1.0,731568648.0,0.0005293547092002217,6987602
33429,2023-12-18,2034,MY80B3,MYQ0128OO007,FRONTKEN CORPORATION,MY,MYR,50205020.0,1.0,696239385.0,0.0005037908584354973,B18TLC4
33430,2023-12-18,2034,IN09S6,INE232I01014,Sun Pharma,IN,INR,20103010.0,1.0,404000923.0,0.0002923304486816747,B1WT346
33431,2023-12-18,2034,CL7026,CL0002132620,SMU,CL,CLP,45201010.0,1.0,936819177.0,0.0006778716452239572,BSPC6B9
33432,2023-12-18,2034,ZA107H,ZAE000296554,THUNGELA RESOURCES,ZA,ZAR,60101040.0,1.0,933839876.0,0.0006757158570846123,BM9HB13
33433,2023-12-18,2034,TW07OK,TW0006005002,Capital Sec,TW,TWD,30202015.0,1.0,1123546539.0,0.0008129854293937163,6156673
33434,2023-12-18,2034,TW154Z,TW0005434005,TOPCO SCIENT,TW,TWD,10102010.0,1.0,1106220152.0,0.0008004482538641883,6254083
33435,2023-12-18,2034,KR02U7,KR7005300009,Lotte Chilsung,KR,KRW,45101020.0,1.0,435527056.0,0.00031514239806201843,6535443
33436,2023-12-18,2034,BM1053,BMG4639H1227,Huabao International Holdings,CN,HKD,55201000.0,1.0,300374624.0,0.0002173476435510751,B00HLY1
33437,2023-12-18,2034,EG2152,EGS743O1C013,E-FINANCE FOR DIGI,EG,EGP,50205015.0,1.0,296132628.0,0.00021427818374693036,BMJ0XQ1
33438,2023-12-18,2034,KR1BAX,KR7248070005,SOLUM,KR,KRW,50202010.0,1.0,818072110.0,0.0005919476252539758,BM9Q3H0
33439,2023-12-18,2034,IN213B,INE806T01012,SAPPHIRE FOODS INDIA,IN,INR,40501040.0,1.0,681234118.0,0.0004929332187991188,BLH30F3
33440,2023-12-18,2034,TW021S,TW0001904001,Cheng Loong,TW,TWD,55101015.0,1.0,1013207656.0,0.0007331454752299858,6190239
33441,2023-12-18,2034,TW1684,TW0002329000,Orient Semicon,TW,TWD,10102010.0,1.0,720104517.0,0.0005210593950853688,6657488
33442,2023-12-18,2034,TW14WQ,TW0006139009,L & K ENGR.,TW,TWD,50101015.0,1.0,945561498.0,0.0006841974887430058,6432607
33443,2023-12-18,2034,TW026X,TW0002023009,Yieh Phui,TW,TWD,55102010.0,1.0,832920921.0,0.0006026920551176159,6987668
33444,2023-12-18,2034,ZA20W7,ZAE000011953,NETCARE,ZA,ZAR,20101010.0,1.0,772055302.0,0.0005586503891247939,6636421
