Date;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Open_Quotation;Index_Settlement_Value;Index_Value_high;Index_Value_low;Index_Close;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Internal_Number;ISIN;SEDOL;RIC;CUSIP;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH00IS;TH0796010005;B0300P1;TOP.BK;;Thai Oil PCL;TH;THB;TheStockExchangeof;533;2040028000;0.509;1;;;42.75;0.0243326;44390499273;1080136315;0.54989
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;ID0083;ID1000111305;B3BQFC4;ADRO.JK;;Adaro Energy Tbk PT;ID;IDR;IndonesiaStockExcha;1771;31985960000;0.4988;1;;;975;0.0000654;1.55557E+13;1017344868;0.51792
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;MY24F5;MYL5222OO004;B8L1DR5;FGVH.KL;;FELDA GLOBAL VENT.HDG.;MY;MYR;BursaMalaysia;3573;3648148000;0.3677;1;;;3.06;0.2407522;4104757501;988229356;0.5031
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;PH202A;PHY5764J1483;B247XZ6;MER.PS;;MANILA ELECTRIC;PH;PHP;ThePhilippineStock;7535;1127098705;0.1883;1;;;260.6;0.0175587;55307837972;971133730;0.49439
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH21W9;TH0083010Z06;B82BL81;TCAP.BK;;THANACHART CAPITAL;TH;THB;TheStockExchangeof;8355;1277816367;0.8983;1;;;34.5;0.0243326;39601254249;963601479;0.49056
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH213G;TH0303A10Z07;6710154;HEMRAJ.BK;;HEMARAJ LAND AND DEV.;TH;THB;TheStockExchangeof;8633;9705185000;0.8899;1;;;4.4;0.0243326;38001234181;924668485;0.47074
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH20AM;TH0456010Z04;B00Q6Z4;LPN.BK;;LPN DEVELOPMENT;TH;THB;TheStockExchangeof;8633;1475698000;1;1;;;21.9;0.0243326;32317786200;786375705;0.40033
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH21YB;TH0999010Z03;B3L0Q89;TISCO.BK;;TISCO FINANCIAL GROUP;TH;THB;TheStockExchangeof;8355;800621925;0.9;1;;;43.75;0.0243326;31524488319;767072800;0.39051
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH204G;TH0420010Z00;6074980;BCP.BK;;BANGCHAK PETROLEUM;TH;THB;TheStockExchangeof;533;1376922000;0.628;1;;;33.5;0.0243326;28967685036;704859093;0.35884
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH20W8;TH0256A10Z04;B00PN05;QH.BK;;QUALITY HOUSES;TH;THB;TheStockExchangeof;8633;9183781750;0.6425;1;;;4.04;0.0243326;23838342287;580048824;0.2953
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;MY208U;MYL7113OO003;B05L892;TPGC.KL;;TOP GLOVE;MY;MYR;BursaMalaysia;4537;620653762;0.6597;1;;;5;0.2407522;2047226435;492874268;0.25092
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH21DQ;TH0374010Z09;6724241;SAMART.BK;;SAMART;TH;THB;TheStockExchangeof;9578;1006329910;0.5891;1;;;32.25;0.0243326;19118733638;465208528;0.23683
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;MY249Z;MYL4634OO001;6965909;PSHL.KL;;POS MALAYSIA;MY;MYR;BursaMalaysia;2771;537025900;0.6779;1;;;4.84;0.2407522;1762001313;424205675;0.21596
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;ID00KF;ID1000066004;6092498;AALI.JK;;Astra Agro Lestari Tbk PT;ID;IDR;IndonesiaStockExcha;3573;1574745000;0.2032;1;;;19425;0.0000654;6.21577E+12;406511389;0.20695
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;TH215I;TH0308010Y08;B99J5K5;AP.BK;;AP THAILAND;TH;THB;TheStockExchangeof;3728;3145912151;0.7007;1;;;6.2;0.0243326;13666911993;332551459;0.1693
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;MY204Q;MYL9679OO001;BBP6LY0;WCTE.KL;;WCT HOLDINGS;MY;MYR;BursaMalaysia;2357;1092483808;0.5772;1;;;2.08;0.2407522;1311609840;315772970;0.16076
21.10.2014;SXAE5DEP;STX ASEAN-5 Sel Div 50 EUR PR;CH0217871224;Price;EUR;2958.49;;2973.02;2944.13;2973.02;50;0.5445;1.96429E+11;66070772;ID00TO;ID1000113707;B548673;BBTN.JK;;BANK TABUNGAN NEGARA;ID;IDR;IndonesiaStockExcha;8779;10458953500;0.3925;1;;;1155;0.0000654;4.74144E+12;310089903;0.15786
