Next_Trading_Day;Internal_Number;ISIN;SEDOL;RIC;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;Close_adjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight;Cash_Dividend_Amount;Cash_Dividend_Currency;Special_Cash_Dividend_Amount;Special_Cash_Dividend_Currency;Corporate_Action_Description
01.10.2014;MY00FZ;MYL1015OO006;6047023;AMMB.KL;AMMB Holdings Bhd;MY;MYR;BursaMalaysia;8355;3014185000;0.6256;1;;;6.87;6.87;0.304831;12954581314;3948958787;1.53538;;;;;
01.10.2014;MY101M;MYL5819OO007;6436892;HLBB.KL;HONG LEONG BANK;MY;MYR;BursaMalaysia;8355;1879909000;0.3827;1;;;14.62;14.62;0.304831;10518229964;3206283263;1.24662;;;;;
01.10.2014;MY244U;MYL2488OO004;6556938;ALFG.KL;ALLIANCE FINANCIAL GP.;MY;MYR;BursaMalaysia;8355;1548106000;0.7094;1;;;4.99;4.99;0.304831;5480149716;1670519859;0.64951;;;;;
01.10.2014;TH21W9;TH0083010Z06;B82BL81;TCAP.BK;THANACHART CAPITAL;TH;THB;TheStockExchangeof;8355;1277816367;0.8983;1;;;37.25;37.25;0.0308404;42757875965;1318668047;0.51271;;;;;
01.10.2014;TH21YB;TH0999010Z03;B3L0Q89;TISCO.BK;TISCO FINANCIAL GROUP;TH;THB;TheStockExchangeof;8355;800621925;0.9;1;;;45.5;45.5;0.0308404;32785467852;1011115502;0.39313;;;;;
01.10.2014;ID0061;ID1000111602;6719764;PGAS.JK;Perusahaan Gas Negara PT;ID;IDR;IndonesiaStockExcha;7573;24241510000;0.4304;1;;;6000;6000;0.0000821;6.26013E+13;5140268977;1.99857;;;;;
01.10.2014;PH047H;PHY0005M1090;B1Z9Q99;AP.PS;Aboitiz Power Corp;PH;PHP;ThePhilippineStock;7537;7358604000;0.2317;1;;;40.75;40.75;0.0222828;69478283290;1548173930;0.60194;;;;;
01.10.2014;TH207J;TH0465010005;6304632;EGCO.BK;ELECTRICITY GENERATING;TH;THB;TheStockExchangeof;7535;526464900;0.5065;1;;;165;165;0.0308404;43997987880;1356913519;0.52758;;;;;
01.10.2014;PH202A;PHY5764J1483;B247XZ6;MER.PS;MANILA ELECTRIC;PH;PHP;ThePhilippineStock;7535;1127098705;0.1883;1;;;253.8;253.8;0.0222828;53864655707;1200257804;0.46667;;;;;
01.10.2014;681075;SG1T75931496;B02PY22;STEL.SI;Singapore Telecommunications L;SG;SGD;SingaporeExchange;6575;15943600000;0.4807;1;;;3.8;3.8;0.784116;29123536376;22836232382;8.87887;;;;;
01.10.2014;ID003Y;ID1000129000;BD4T6W7;TLKM.JK;Telekomunikasi Indonesia Tbk P;ID;IDR;IndonesiaStockExcha;6535;1.008E+11;0.4881;1;;;2915;2915;0.0000821;1.43419E+14;11776346450;4.57872;;;;;
01.10.2014;MY00G0;MYL4863OO006;6868398;TLMM.KL;Telekom Malaysia Bhd;MY;MYR;BursaMalaysia;6535;3667172234;0.5086;1;;;6.6;6.6;0.304831;12309817067;3752414592;1.45896;;;;;
01.10.2014;660373;SG1N31909426;6603737;CMDG.SI;ComfortDelGro Corp. Ltd.;SG;SGD;SingaporeExchange;5759;2136027563;1;1;;;2.4;2.4;0.784116;5126466151;4019744560;1.5629;;;;;
