STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
B1296H;B1296H0;GRS491003000;20190318;1;1.0
RU103P;B59SPB5;RU000A0JPGA0;20190318;1;1.0
IN12X5;B02PD81;INE591G01017;20190318;1;0.6401881
ID80MP;BFNBJ41;ID1000142805;20190318;1;1.0
HK00BC;B1H5082;CNE1000004R6;20190318;1;1.0
KR02GT;6496432;KR7004000006;20190318;1;1.0
KR06J0;B0TLGZ0;KR7085660009;20190318;1;1.0
KR03R5;6405869;KR7011200003;20190318;1;1.0
CN8BQ8;B1XDJC7;KYG8655K1094;20190318;1;1.0
KR00X8;B05R492;KR7000080002;20190318;1;1.0
ID7057;BH7HMM8;ID1000130305;20190318;1;1.0
KR10KW;6510989;KR7012510004;20190318;1;1.0
TW6050;B6ZZQ69;TW0005269005;20190318;1;1.0
ID20A7;6291767;ID1000115306;20190318;1;1.0
TW055Z;6328450;TW0002845005;20190318;1;1.0
BR20AE;B1YW5V4;BREZTCACNOR0;20190318;1;1.0
IN0AS7;6579634;INE692A01016;20190318;1;0.8707009
BR307C;B07C796;BRALPAACNPR7;20190318;1;1.0
PH703G;BYXYHM7;PHY9584X1055;20190318;1;1.0
BR20BF;B4LHBQ0;BRQUALACNOR6;20190318;1;1.0
MY309W;6986717;MYL7293OO003;20190318;1;1.0
597895;5978953;PLSOFTB00016;20190318;1;1.0
ID201Y;6254511;ID1000053705;20190318;1;1.0
IN503D;B02VC93;INE001B01026;20190318;1;1.0
KR104G;B691DP1;KR7057050007;20190318;1;0.8278425
TW18PN;B297JM0;TW0002231008;20190318;1;1.0
TH517N;BWX5FX3;TH4536010Z09;20190318;1;1.0
BR0428;B3PRVV4;BRMPLUACNOR3;20190318;1;1.0
CN1RZQ;BF4NQP6;US44852D1081;20190318;1;1.0
MX11M7;BYMXF65;MX01Q0000008;20190318;1;1.0
IN712F;6399887;INE545A01016;20190318;1;0.4348592
IN077J;B233M14;INE338I01027;20190318;1;0.7772021
IN60FQ;BYY2W03;INE600L01024;20190318;1;0.6066734
BR03DI;2648862;BRGOAUACNPR8;20190318;1;1.0
TW12SK;6683416;TW0006269004;20190318;1;1.0
TW05F9;6518392;TW0002889003;20190318;1;1.0
IN50DN;6211204;INE670A01012;20190318;1;0.4329785
KR304I;B9C3D99;KR7170900005;20190318;1;1.0
IN80AN;BBJKFV3;INE274F01020;20190318;1;0.4763983
TH50R6;BYMY052;TH1041010Z03;20190318;1;0.9759012
TW306Y;B5SG8Y4;KYG114741062;20190318;1;1.0
KR61WE;BZ0RDZ1;KR7079550000;20190318;1;1.0
TW02B2;6621427;TW0002101003;20190318;1;1.0
TH20V7;B05BPG8;TH0254A10Z06;20190318;1;0.7324365
KR801K;BF2RZ42;KR7285130001;20190318;1;1.0
EV027;B590TG4;RU000A0B6NK6;20190318;1;1.0
ID30GE;B8FQLP0;ID1000123904;20190318;1;1.0
TW10J9;B1GJFG8;TW0003533006;20190318;1;1.0
TW01PF;6661519;TW0001710002;20190318;1;1.0
TW05JD;6331373;TW0002903002;20190318;1;1.0
B064B9;B064B91;PLEURCH00011;20190318;1;1.0
KR060H;6578608;KR7066970005;20190318;1;1.0
TW02C3;6870876;TW0002103009;20190318;1;1.0
TW1OCQ;B80VKP3;TW0005274005;20190318;1;1.0
TH501G;BWZ1D13;TH0219010Z06;20190318;1;0.5097373
414933;4149330;PLBUDMX00013;20190318;1;1.0
KR04FU;6155227;KR7020000006;20190318;1;1.0
