STOXXID;SEDOL;ISIN;effectiveDate;weightFactor;capFactor
TW1APP;B5T7VM5;KYG898431096;20190318;1;1.0
TW501V;B6TJTG8;TW0002634003;20190318;1;1.0
TW1H29;6397870;TW0004105002;20190318;1;1.0
TW05NH;6439620;TW0003005005;20190318;1;1.0
TW06JE;B056381;TW0003443008;20190318;1;1.0
TW307Z;B6RN4B2;TW0003682001;20190318;1;0.8441193
TW07JF;6511788;TW0005534002;20190318;1;1.0
TW04ZS;6198954;TW0002820008;20190318;1;1.0
TW1OO2;B6RXHJ1;TW0008341009;20190318;1;1.0
TW124W;6320832;TW0009938001;20190318;1;1.0
TW6050;B6ZZQ69;TW0005269005;20190318;1;1.0
TW604Z;6396770;TW0002456001;20190318;1;1.0
TW1OCQ;B80VKP3;TW0005274005;20190318;1;1.0
TW05JD;6331373;TW0002903002;20190318;1;1.0
TW06UP;B284BT3;TW0003576005;20190318;1;1.0
TW11F6;6105136;TW0002404001;20190318;1;1.0
TW022T;6988616;TW0001907004;20190318;1;1.0
TW04G9;6275459;TW0002548005;20190318;1;1.0
TW02C3;6870876;TW0002103009;20190318;1;1.0
TW1LEP;B04S935;TW0003152005;20190318;1;1.0
TW10J9;B1GJFG8;TW0003533006;20190318;1;1.0
TW02G7;6988597;TW0002201001;20190318;1;1.0
TW111S;6432889;TW0002534005;20190318;1;1.0
TW082Z;B1L8PB5;TW0006271000;20190318;1;1.0
TW04KD;6911377;TW0002606001;20190318;1;1.0
TW02NE;6161031;TW0002312006;20190318;1;1.0
TW023U;6907310;TW0002006004;20190318;1;1.0
TW019Z;6898845;TW0001319002;20190318;1;1.0
TW01H7;6988694;TW0001507002;20190318;1;1.0
TW06HC;B02GHN7;TW0003376000;20190318;1;1.0
TW10SI;6201465;TW0009941005;20190318;1;1.0
TW034W;6186799;TW0002355005;20190318;1;1.0
TW10E4;6740140;TW0006278005;20190318;1;1.0
TW1OP3;BN5RZ56;TW0006462005;20190318;1;1.0
TW01PF;6661519;TW0001710002;20190318;1;1.0
TW08TQ;6335212;TW0009939009;20190318;1;1.0
TW11PG;6548980;TW0006202005;20190318;1;1.0
US03E3;B126TB6;US43289P1066;20190318;1;1.0
TW031T;6740753;TW0002349008;20190318;1;1.0
TW40B4;B94NS14;TW0006414006;20190318;1;1.0
TW02I9;6787084;TW0002206000;20190318;1;1.0
TW134X;6718772;TW0008016007;20190318;1;1.0
TW13G9;6792431;TW0002351004;20190318;1;1.0
TW10G6;B4VYX10;TW0008422007;20190318;1;1.0
TW026X;6987668;TW0002023009;20190318;1;1.0
TW03LD;6094922;TW0002393006;20190318;1;1.0
TW1FY3;B05DVL1;TW0008044009;20190318;1;1.0
TW02B2;6621427;TW0002101003;20190318;1;1.0
TW03SK;6293989;TW0002441003;20190318;1;1.0
TW1DDG;6743332;TW0003264008;20190318;1;1.0
TW06WR;B28SKW1;TW0003596003;20190318;1;1.0
TW602X;BVTRKC0;KYG7060F1019;20190318;1;1.0
TW1HY5;6439608;TW0005820005;20190318;1;1.0
TW0593;6154622;TW0002855004;20190318;1;1.0
TW1IIQ;6292481;TW0005530000;20190318;1;1.0
TW1AKK;6574037;TW0006214000;20190318;1;1.0
TW1998;6492816;TW0001808004;20190318;1;1.0
TW10A0;6191005;TW0001718005;20190318;1;1.0
TW16FB;6156770;TW0005388003;20190318;1;1.0
TW7084;6733690;TW0001515005;20190318;1;1.0
TW1EDH;6744807;TW0003293007;20190318;1;1.0
TW03XP;6441573;TW0002455003;20190318;1;1.0
TW10UK;6571492;TW0006213002;20190318;1;1.0
TW1E26;6673365;TW0003227005;20190318;1;1.0
TW301T;B6S2Z37;TW0002867009;20190318;1;1.0
TW12PH;6870649;TW0001310001;20190318;1;1.0
TW05LF;6871073;TW0002913001;20190318;1;1.0
TW12QI;6096423;TW0002367000;20190318;1;1.0
TW04NG;6987583;TW0002609005;20190318;1;1.0
TW1J5E;6222972;TW0005425003;20190318;1;1.0
TW12D5;6621267;TW0002108008;20190318;1;1.0
TW1ENR;6431381;TW0006146004;20190318;1;1.0
TW1D7A;6440945;TW0005903009;20190318;1;1.0
TW154Z;6254083;TW0005434005;20190318;1;1.0
TW16XT;6728373;TW0008112004;20190318;1;1.0
TW02QH;6238485;TW0002323003;20190318;1;1.0
TW014U;6919003;TW0001304004;20190318;1;1.0
TW1BPQ;6609081;TW0008942004;20190318;1;1.0
TW1OBP;B7X3BR8;KYG390101064;20190318;1;1.0
TW10F5;6431949;TW0006153000;20190318;1;1.0
TW11RI;6672964;TW0006257009;20190318;1;1.0
TW40C5;B0BSM06;TW0008150004;20190318;1;1.0
TW04F8;6314006;TW0002547007;20190318;1;1.0
TW0492;6084666;TW0002515004;20190318;1;1.0
TW6094;B04ZR54;TW0003413001;20190318;1;1.0
TW403W;6578567;TW0006230006;20190318;1;1.0
TW01J9;6038834;TW0001532000;20190318;1;1.0
TW0683;6687872;TW0003189007;20190318;1;1.0
TW017X;6918657;TW0001313005;20190318;1;1.0
TW0470;6375564;TW0002504008;20190318;1;1.0
TW17TQ;6432566;TW0001537009;20190318;1;1.0
TW046Z;6179733;TW0002501004;20190318;1;1.0
TW1NZC;B6THYG7;TW0004162003;20190318;1;1.0
TW05QK;6290355;TW0003010005;20190318;1;1.0
TW12E6;6524236;TW0001909000;20190318;1;1.0
TW5060;BJYP111;TW0008454000;20190318;1;1.0
TW103T;B58KV47;TW0001789006;20190318;1;1.0
TW1ASS;B429W95;KYG9721M1033;20190318;1;1.0
TW043W;6185826;TW0002489002;20190318;1;1.0
TW08KH;6897864;TW0009907006;20190318;1;1.0
TW8074;B1LJ5C9;TW0009958009;20190318;1;1.0
TW1AHH;6987602;TW0002014008;20190318;1;1.0
TW1GPV;6714781;TW0008076001;20190318;1;1.0
TW03KC;6175667;TW0002392008;20190318;1;1.0
TW11KB;6245775;TW0008926007;20190318;1;1.0
TW14IC;6698421;TW0006277007;20190318;1;1.0
TW1820;6188610;TW0001215002;20190318;1;1.0
TW08UR;6193915;TW0009940007;20190318;1;1.0
TW05WQ;6186045;TW0003035002;20190318;1;1.0
TW05SM;6544892;TW0003017000;20190318;1;1.0
TW05OI;6443386;TW0003006003;20190318;1;1.0
TW08GD;B0VCF21;TW0008163007;20190318;1;1.0
TW1N7K;B56VQB4;TW0005536007;20190318;1;1.0
TW1I7F;6718943;TW0003260006;20190318;1;1.0
TW1N0D;B04S979;TW0001795003;20190318;1;1.0
TW01KA;B0VCJH4;TW0001582005;20190318;1;1.0
TW142W;6431875;TW0004532007;20190318;1;1.0
TW10TJ;6580454;TW0002905007;20190318;1;1.0
TW1HRY;6431864;TW0006188006;20190318;1;1.0
TW10ND;6202996;TW0002481009;20190318;1;1.0
TW07HD;6203687;TW0005522007;20190318;1;1.0
TW02TK;6669966;TW0002328002;20190318;1;1.0
TW505Z;B97NLT0;TW0006412000;20190318;1;1.0
TW05ZT;6336248;TW0003042008;20190318;1;1.0
TW11ZQ;6402666;TW0002031002;20190318;1;1.0
TW60KF;BYP6XF6;TW0004438007;20190318;1;1.0
TW0773;6290764;TW0005305007;20190318;1;1.0
TW1BVW;6708698;TW0006279003;20190318;1;1.0
TW11OF;B02QXR3;TW0008213000;20190318;1;1.0
TW16GC;B00VD25;TW0001558005;20190318;1;1.0
TW1NAN;B3DBMV5;TW0004736004;20190318;1;1.0
TW0830;6676450;TW0006282007;20190318;1;1.0
TW11VM;6338921;TW0003030003;20190318;1;1.0
TW8063;6708159;TW0003090007;20190318;1;1.0
TW0740;6427692;TW0004906003;20190318;1;1.0
TW15RM;B07NLN1;TW0003450003;20190318;1;1.0
TW11A1;6621018;TW0001702009;20190318;1;1.0
TW1OES;B8DJMF8;TW0005289003;20190318;1;1.0
TW02XO;6664723;TW0002340007;20190318;1;1.0
TW303V;B8Y6W58;KYG193031096;20190318;1;1.0
TW1JAJ;6432049;TW0006180003;20190318;1;1.0
TW028Z;6181374;TW0002034006;20190318;1;1.0
TW14A4;6567156;TW0006206006;20190318;1;1.0
TW1B89;6131272;TW0005009005;20190318;1;1.0
TW04JC;6810731;TW0002605003;20190318;1;1.0
TW07D9;6328933;TW0005469001;20190318;1;1.0
TW0885;B118753;TW0008046004;20190318;1;1.0
TW12XP;B00P963;TW0001560001;20190318;1;1.0
TW10XN;6508939;TW0001444008;20190318;1;1.0
TW12IA;6254061;TW0002850005;20190318;1;1.0
TW01QG;6324618;TW0001711000;20190318;1;1.0
TW1P0F;BD5TXX6;KYG7171A1085;20190318;1;1.0
TW1N6J;B28Y6Q5;TW0008358003;20190318;1;1.0
TW1OU8;BSP1ZW0;TW0006510001;20190318;1;1.0
TW1O5J;B70D9V1;TW0005263008;20190318;1;1.0
TW801Y;BYQH875;KYG8676P1037;20190318;1;1.0
TW06QL;B1HKJZ7;TW0003532008;20190318;1;1.0
TW0863;6741411;TW0006605009;20190318;1;1.0
TW13WP;6129039;TW0002421005;20190318;1;1.0
TW14VP;6431574;TW0006166002;20190318;1;1.0
TW00XM;6190626;TW0001103000;20190318;1;1.0
TW15OJ;6140999;TW0002464005;20190318;1;1.0
TW04LE;6324511;TW0002607009;20190318;1;1.0
TW502W;BZCGBF2;TW0003708004;20190318;1;1.0
TW01I8;6194811;TW0001513000;20190318;1;1.0
TW405Y;BGCWLC4;KYG211641017;20190318;1;1.0
TW60C7;6190682;TW0001305001;20190318;1;1.0
TW03B3;6059998;TW0002373008;20190318;1;1.0
TW07TP;6426246;TW0006120009;20190318;1;1.0
TW1FRW;B06BZ34;TW0008255001;20190318;1;1.0
TW1DHK;6603878;TW0006238009;20190318;1;1.0
TW04A3;6491329;TW0002520004;20190318;1;1.0
TW04WP;6107574;TW0002707007;20190318;1;1.0
TW1O2G;B6RYW99;KYG675291002;20190318;1;1.0
TW14YS;6876799;TW0001218006;20190318;1;1.0
TW14JD;B2NWD18;TW0001773000;20190318;1;1.0
TW7062;6203234;TW0004414008;20190318;1;1.0
TW110R;6716497;TW0008039009;20190318;1;1.0
TW1MZB;B1LJ518;TW0008086000;20190318;1;1.0
TW60A5;B8X9CB4;KYG368891068;20190318;1;1.0
TW14TN;6348607;TW0001709004;20190318;1;1.0
TW404X;B015YY5;TW0008114000;20190318;1;1.0
TW00ZO;6949312;TW0001201002;20190318;1;1.0
TW18WU;6438713;TW0003003000;20190318;1;1.0
TW12JB;B1Z81M4;TW0003545000;20190318;1;1.0
TW1NQ3;B68ZXW1;TW0001597003;20190318;1;1.0
TW40A3;B80LWS0;KYG984291065;20190318;1;1.0
TW11SJ;6343798;TW0003022000;20190318;1;1.0
TW1OJX;BDC7PZ9;KYG866171005;20190318;1;1.0
TW1594;6146629;TW0002428000;20190318;1;1.0
TW19KJ;B3LQVN7;TW0003645008;20190318;1;1.0
TW1NXA;B02Q6G3;TW0003374005;20190318;1;1.0
TW02KB;B3KMM99;TW0002208006;20190318;1;1.0
TW703Z;B6QZ6X5;KYG2346M1033;20190318;1;1.0
TW072Y;B58DQK7;TW0003703005;20190318;1;1.0
TW1IFN;6291897;TW0005457006;20190318;1;1.0
TW01RH;6422642;TW0001714004;20190318;1;1.0
TW03JB;6146823;TW0002388006;20190318;1;1.0
TW1B9A;6431905;TW0006173008;20190318;1;1.0
TW03NF;6084503;TW0002401007;20190318;1;1.0
