,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight,Mcap_Units_Index_Currency_Open,SEDOL
32766,2023-12-18,2027,TW02OF,TW0002313004,Compeq Mftg,TW,TWD,10102015.0,0.0020112904497189294,2781482570.0,6215273
32767,2023-12-18,2027,IN60ZA,INE572A01036,JB CHEMICALS & PHARMS.,IN,INR,20103015.0,0.0008831762342551618,1221374716.0,BNQNGS3
32768,2023-12-18,2027,TW11B2,TW0001477008,Makalot,TW,TWD,40204020.0,0.001967975163104715,2721580374.0,6580432
32769,2023-12-18,2027,SA2239,SA000A0EAXM3,SAUDIA DAIRY & FDSF,SA,SAR,45102020.0,0.000810445009580762,1120792210.0,B133P41
32770,2023-12-18,2027,IN12IQ,INE536A01023,Grindwell Norton,IN,INR,55101000.0,0.0010227908165416075,1414452512.0,B156WQ9
32771,2023-12-18,2027,IN05KU,INE530B01024,IIFL FINANCE,IN,INR,30201020.0,0.0013106912404176668,1812599886.0,B0838V7
32772,2023-12-18,2027,BR171B,BRSMFTACNOR1,SMARTFIT ESCOLA SA COM NPV,BR,BRL,40501030.0,0.0009224971612236319,1275752975.0,BF4XNJ9
32773,2023-12-18,2027,TW03JB,TW0002388006,VIA TECHNOLOGIES,TW,TWD,10102010.0,0.0008606645930454907,1190242595.0,6146823
32774,2023-12-18,2027,IN09N1,INE640A01023,SKF India Ltd,IN,INR,50204000.0,0.0009447711396624413,1306556424.0,6411510
32775,2023-12-18,2027,IN10U0,INE120A01034,Carborundum Univ,IN,INR,55101000.0,0.0013628670932299132,1884755663.0,B6X5768
32776,2023-12-18,2027,IN60FQ,INE600L01024,DR LAL PATHLABS,IN,INR,20102020.0,0.0009041475795991362,1250376709.0,BYY2W03
32777,2023-12-18,2027,IN05T3,INE821I01022,IRB Infrast Dvlp,IN,INR,50101010.0,0.0005375788442749308,743436228.0,BMTY040
32778,2023-12-18,2027,IN08AN,INE140A01024,PIRAMAL ENTERPRISES,IN,INR,30201020.0,0.0010160399926351714,1405116566.0,B058J56
32779,2023-12-18,2027,KR22L0,KR7277810008,RAINBOW ROBOTICS,KR,KRW,50204000.0,0.0008331051762833191,1152129732.0,BM9Q3J2
32780,2023-12-18,2027,TW04YR,TW0002812005,Taichung Comm Bk,TW,TWD,30101010.0,0.001430709901331071,1978577810.0,6869971
32781,2023-12-18,2027,IN0BJZ,INE325A01013,TIMKEN INDIA,IN,INR,50204000.0,0.000874230839732918,1209003823.0,6143857
32782,2023-12-18,2027,IN04LU,INE935A01035,Glenmark Phrm,IN,INR,20103015.0,0.0011064755318424626,1530182976.0,6698755
32783,2023-12-18,2027,IN0BBR,INE763G01038,ICICI SECURITIES,IN,INR,30202015.0,0.000521849995952207,721684264.0,BF2LT08
32784,2023-12-18,2027,IN303B,INE128S01021,FIVE-STAR BUSINESS FINANCE,IN,INR,30201020.0,0.000521544077589357,721261199.0,BP5JGC0
32785,2023-12-18,2027,IN04R0,INE233A01035,Godrej Indus,IN,INR,50203000.0,0.001124128849737627,1554596355.0,B1BFBC9
32786,2023-12-18,2027,SA22DJ,SA000A0LE310,ADVANCED PETROCHEMICALS,SA,SAR,55201020.0,0.0006945880394714593,960569631.0,B1P6WF8
32787,2023-12-18,2027,SA226C,SA000A0HNGZ6,ALDREES PTL& TRANSVS,SA,SAR,60101020.0,0.0009704105642882702,1342014064.0,B128FF8
32788,2023-12-18,2027,IN05PZ,INE136B01020,Cyient Ltd,IN,INR,10101010.0,0.001715908974193291,2372989393.0,B19HGC2
32789,2023-12-18,2027,IN315E,INE672A01018,TATA INVESTMENT CORPORATION,IN,INR,30202010.0,0.0005051540279402333,698594837.0,6461377
32790,2023-12-18,2027,IN3019,INE171Z01018,BHARAT DYNAMICS,IN,INR,50201020.0,0.0005569420655134057,770214291.0,BDVPZL0
32791,2023-12-18,2027,IN403C,INE217B01036,KAJARIA CERAMICS,IN,INR,50101035.0,0.0011299067648150522,1562586832.0,BDB5J63
32792,2023-12-18,2027,IN157I,INE372A01015,APAR INDUSTRIES,IN,INR,50202010.0,0.0007266188421526397,1004866127.0,B01WBY5
32793,2023-12-18,2027,IN20QX,INE872J01023,DEVYANI INTERNATIONAL,IN,INR,40501040.0,0.0007901392294725627,1092710650.0,BKVD654
32794,2023-12-18,2027,MY245V,MYL3034OO005,HAP SENG CONSOLIDATED,MY,MYR,50203000.0,0.0004576811931626483,632943025.0,6297743
32795,2023-12-18,2027,PL303G,PLALIOR00045,ALIOR BANK,PL,PLN,30101010.0,0.001218863687152816,1685608412.0,B8W8F13
32796,2023-12-18,2027,SA25V4,SA14QG523GH3,ARABIAN CENTRES COMPANY,SA,SAR,35101010.0,0.0006802146799717705,940692219.0,BKBF694
32797,2023-12-18,2027,IN10SY,INE176A01028,Bata India Ltd,IN,INR,40204025.0,0.0007968791555367134,1102031525.0,BYMFG13
32798,2023-12-18,2027,IN04GP,INE322A01010,GILLETTE INDIA,IN,INR,45201020.0,0.00034588336379488127,478333971.0,6139931
32799,2023-12-18,2027,SA24FN,SA1330R2TQ16,CATRION CATERING HOLDING,SA,SAR,50205020.0,0.0006821310710693908,943342462.0,B7J4PX9
32800,2023-12-18,2027,SA26MW,SA15D1I1VJH7,ARABIAN CONTRACTING SERVICES,SA,SAR,40301020.0,0.0006129213159003002,847629917.0,BP4DC81
32801,2023-12-18,2027,CN2CW9,KYG2215N1097,CLOUD MUSIC,CN,HKD,40301010.0,0.00041569209607669315,574874862.0,BP2TRS6
32802,2023-12-18,2027,IN70CO,INE947Q01028,LAURUS LABS,IN,INR,20103015.0,0.0013895800496854323,1921697927.0,BMZ1CH2
32803,2023-12-18,2027,IN0BAQ,INE466L01038,360 ONE WAM,IN,INR,30202010.0,0.0014115443207166319,1952073071.0,BQKRHR8
32804,2023-12-18,2027,TW30C4,KYG5138S1057,JINAN ACETATE CHEMICAL,TW,TWD,55201020.0,0.0008763883760516985,1211987554.0,BYRP845
32805,2023-12-18,2027,IN0BDT,INE258G01013,SUMITOMO CHEMICAL INDIA,IN,INR,55201015.0,0.00044041499126871775,609065002.0,BL1N1S9
32806,2023-12-18,2027,BR16BK,BRGGPSACNOR9,GPS PART. E EMPREENDIMENTOS ON,BR,BRL,50205020.0,0.0012558154979769743,1736710339.0,BLFG6N4
32807,2023-12-18,2027,SA24QY,SA13J051UJH4,AL HAMMADI HOLDING,SA,SAR,20101010.0,0.0007360447027355381,1017901473.0,BP7RRL8
32808,2023-12-18,2027,BR0406,BRMDIAACNOR7,M Dias Branco,BR,BRL,45102020.0,0.0007081638252959996,979344051.0,B1FRH89
32809,2023-12-18,2027,TW08ZW,TW0006531007,AP MEMORY TECH.,TW,TWD,10102010.0,0.0014157164111470188,1957842798.0,BWY5316
32810,2023-12-18,2027,IN60P0,INE105A01035,TVS HOLDINGS,IN,INR,40101025.0,0.0003588911942260216,496322946.0,B84NYN1
32811,2023-12-18,2027,IN117E,INE944F01028,RADICO KHAITAN,IN,INR,45101015.0,0.0012428339753753096,1718757746.0,B0VY3T0
32812,2023-12-18,2027,IN40CL,INE769A01020,AARTI INDUSTRIES,IN,INR,55201020.0,0.0010121037637331849,1399673020.0,B0VX289
32813,2023-12-18,2027,IN709L,INE572E01012,PNB HOUSING FINANCE,IN,INR,30201025.0,0.00035322187360527425,488482648.0,BD6FGZ6
32814,2023-12-18,2027,IN0B6M,INE716A01013,Whirlpool India,IN,INR,40202020.0,0.00037305378738784257,515908882.0,6291790
32815,2023-12-18,2027,BR30BG,BRSMTOACNOR3,SAO MARTINHO,BR,BRL,45102035.0,0.0006853141022290282,947744385.0,B1P3R43
32816,2023-12-18,2027,IN20U1,INE07Y701011,HITACHI ENERGY INDIA,IN,INR,50202010.0,0.00047059838082131087,650806647.0,BK709V6
32817,2023-12-18,2027,SA2307,SA11RGL0IU14,ASTRA INDUSTRIAL GROUP,SA,SAR,30202000.0,0.0006653410841303622,920123013.0,B3CQKT5
32818,2023-12-18,2027,KR190L,KR7058470006,LEENO INDUSTRIAL,KR,KRW,10102020.0,0.0011282598991730834,1560309325.0,6430139
32819,2023-12-18,2027,KR70AC,KR7267260008,HD HYUNDAI ELECTRIC,KR,KRW,50202010.0,0.0008925212305488433,1234298232.0,BD4HFR9
32820,2023-12-18,2027,TW090Y,TW0006592009,HOTAI FINANCE,TW,TWD,30201020.0,0.0005375020416392286,743330015.0,BYQKH22
