,Date,Index_Component_Count,Internal_Number,ISIN,SEDOL,Instrument_Name,Country,Currency,ICB
51486,2023-12-18,1148,CN8FVH,KYG8875G1029,BY9D3L9,3SBIO,CN,HKD,20103010.0
51238,2023-12-18,1148,CN2IQ9,CNE000001BJ3,BP3RC62,WOLONG ELECTRIC DRIVE GRP 'A' (CCS),CN,CNY,50202010.0
51183,2023-12-18,1148,CN4BM0,CNE000001DW2,BP3RBQ5,SHUANGLIANG ECO-ENERGY SYS. A (CCS),CN,CNY,50204000.0
51240,2023-12-18,1148,CN35MT,CNE100000VV7,BQ3RQ89,DAJIN HEAVY INDUSTRY 'A' (CCS),CN,CNY,60102020.0
51218,2023-12-18,1148,CN2J9T,CNE0000008P3,BS7K3V0,SHANGHAI WANYE ENTS. 'A' (CCS),CN,CNY,35101010.0
51202,2023-12-18,1148,CN34RX,CNE100002W68,BKM3FC3,CHINA PUBLISHING & MEDIA HDG A (CCS),CN,CNY,40301030.0
51114,2023-12-18,1148,CN2PUK,CNE100000P85,BD5C8H4,DFD NEW MATERIALS 'A' (CCS),CN,CNY,55201020.0
51130,2023-12-18,1148,CN2KN8,CNE000000DD4,BP3R9K5,MAANSHAN IRON & STL. 'A' (CCS),CN,CNY,55102010.0
51231,2023-12-18,1148,CN2Z77,CNE100000P93,BD5LZV4,ZIBO QIXIANG TENGDA CHM. 'A' (CCS),CN,CNY,55201000.0
51135,2023-12-18,1148,CN789N,CNE0000007X9,BP3R6N7,ZHEJIANG DLY. DGT. CULT. GR. A (CCS),CN,CNY,40203040.0
51215,2023-12-18,1148,CN7DVE,CNE000000CB0,BP3R626,SHANGHAI BAILIAN GROUP 'A' (CCS),CN,CNY,45201010.0
51207,2023-12-18,1148,CN2WKH,CNE000000ZV9,BKP87M9,CHINA RAILWAY MTRL. CMPNY 'A' (CCS),CN,CNY,50206020.0
51235,2023-12-18,1148,CN2WXU,CNE100004JY8,BQ3RQ67,INNER MONGOLIA DAZHONG MI. 'A' (CCS),CN,CNY,55102010.0
51189,2023-12-18,1148,CN2PC2,CNE100001F37,BHQPRQ2,GUANGDONG HONGDA HLDGS 'A' (CCS),CN,CNY,55102000.0
51233,2023-12-18,1148,CN33DI,CNE100000WW3,BD6QVT8,GCL SY.INTG.TECH.'A' (CCS),CN,CNY,60102020.0
51223,2023-12-18,1148,CN2LI4,CNE000000CM7,BP3R1Y3,CETC DIGITAL TECHNOLOGY 'A' (CCS),CN,CNY,10101010.0
50866,2023-12-18,1148,CN2IZI,CNE000001GR5,BP3RG37,Huafa Ind 'A' (CCS),CN,CNY,35101010.0
51190,2023-12-18,1148,CN2L8U,CNE100001SM0,BTFRHR4,CHINA WAFER LEVEL CSP 'A' (CCS),CN,CNY,10102020.0
51236,2023-12-18,1148,CN2ULG,CNE100000P02,BD5CKT0,SHENZHEN HEPALINK PHARM. 'A' (CCS),CN,CNY,20103015.0
51213,2023-12-18,1148,CN385F,CNE100000PX5,BL4P3Y2,COFCO CAPITAL HOLDINGS 'A' (CCS),CN,CNY,30301010.0
51237,2023-12-18,1148,CN2NH5,CNE1000019T0,BD5LYV7,YANTAI VALIANT FINE CHEMS.'A' (CCS),CN,CNY,55201020.0
51180,2023-12-18,1148,CN35T0,CNE100003LK5,BK4XS33,SICHUAN TEWAY FOOD GROUP 'A' (CCS),CN,CNY,45102020.0
51229,2023-12-18,1148,CN2T0U,CNE000000QG9,BD5CLL9,XINXING PIPES 'A' (CCS),CN,CNY,55102010.0
51241,2023-12-18,1148,CN4C9O,CNE1000056L9,BLC7SC3,BANK OF LANZHOU 'A' (CCS),CN,CNY,30101010.0
51212,2023-12-18,1148,CN31LO,CNE0000011Z6,BHQPRG2,INFORE ENVM.TECH.GP.'A' (CCS),CN,CNY,50204000.0
51219,2023-12-18,1148,CN32X1,CNE0000004F3,BD5CF84,SHAANXI TRUST 'A' (CCS),CN,CNY,30202000.0
51126,2023-12-18,1148,CN2U94,CNE1000000F9,BD5CHL1,LEO GROUP 'A' (CCS),CN,CNY,40301020.0
51239,2023-12-18,1148,CN2F7N,CNE000001329,BP3RKF7,SHAANXI CONSTR. ENGIN. GP. 'A' (CCS),CN,CNY,50101010.0
51209,2023-12-18,1148,CN2OYN,CNE100002RX7,BG139S0,RED STAR MACALLINE GROUP 'A' (CCS),CN,CNY,35101010.0
51182,2023-12-18,1148,CN2HJ1,CNE100000HW4,BD5LX76,ZHONGSHENG PHARM 'A' (CCS),CN,CNY,20103015.0
51203,2023-12-18,1148,CN2XA8,CNE100000WF8,BD5LSZ9,SICHUAN YAHUA INDUSTRIAL A (CCS),CN,CNY,55201020.0
51172,2023-12-18,1148,CN2ZCC,CNE100001WJ8,BD5M1Z3,YIXINTANG PHARMA. GROUP 'A' (CCS),CN,CNY,45201015.0
51208,2023-12-18,1148,CN2HEW,CNE100000J34,BD5LT45,PRET COMPOSITES 'A' (CCS),CN,CNY,50203015.0
51012,2023-12-18,1148,CN34FL,CNE0000005V7,BHQPSZ8,HAINAN HAIDE CAPITAL MGMT.'A' (CCS),CN,CNY,30202010.0
51069,2023-12-18,1148,CN2YUT,CNE100002SZ0,BF2DZ73,CHINA DEPPON LOGISTICS 'A' (CCS),CN,CNY,50206040.0
51198,2023-12-18,1148,CN2G8P,CNE100000ZS4,BD5CFC8,CETC POTEVIO SCI&TECH 'A' (CCS),CN,CNY,15101010.0
51191,2023-12-18,1148,CN2XFD,CNE100000XC3,BD5LVN8,SHENZHEN KSTAR SCTC.'A' (CCS),CN,CNY,50202010.0
51210,2023-12-18,1148,CN2KWH,CNE000000MN4,BP3RD81,Xiamen ITG 'A' (CCS),CN,CNY,50205010.0
51234,2023-12-18,1148,CN2U1W,CNE100001203,BD5CFM8,SUOFEIYA HOME CLLN.'A' (CCS),CN,CNY,40202015.0
51205,2023-12-18,1148,CN2SA3,CNE000000F48,BD5CFF1,Biocause 'A' (CCS),CN,CNY,30301010.0
51410,2023-12-18,1148,CN89UA,BMG4600H1198,BMXJW56,HOPSON DEVELOPMENT HOLDINGS,CN,HKD,35101010.0
51206,2023-12-18,1148,CN2G5M,CNE000000YG3,BD5CF06,YONFER AGRICULTURAL TECH. (CCS),CN,CNY,55201015.0
51211,2023-12-18,1148,CN34TZ,CNE000000QN5,BKM3FV2,FUJIAN XIAMEN XIANGYU 'A' (CCS),CN,CNY,50206040.0
51232,2023-12-18,1148,CN2M5S,CNE000001Q44,BP3R6Y8,GUANGSHEN RAILWAY 'A' (CCS),CN,CNY,50206020.0
51184,2023-12-18,1148,CN30UW,CNE1000033H6,BDC41P2,XIAMEN INTRETECH 'A' (CCS),CN,CNY,40203010.0
51019,2023-12-18,1148,CN2FO4,CNE1000022J5,BYQDMM6,ANHUI GXIN.AGROCHEMICAL 'A' (CCS),CN,CNY,55201015.0
51197,2023-12-18,1148,CN2GJ0,CNE0000009N6,BD5CHT9,CHINA NAT.ACCORD MDC.'A' (CCS),CN,CNY,45201015.0
51185,2023-12-18,1148,CN34KQ,CNE100003JQ6,BK4XYB3,QINGDAO RURAL COMMER. BANK 'A' (CCS),CN,CNY,30101010.0
51021,2023-12-18,1148,CN36MU,CNE100002W84,BMQBVH4,ZHEJIANG CFMOTO POWER'A' (CCS),CN,CNY,40203055.0
51179,2023-12-18,1148,CN2NXL,CNE0000000L9,BD5M261,CHINA RESOURCES JINHUA 'A' (CCS),CN,CNY,40203010.0
51407,2023-12-18,1148,HK50JP,BMG210A71016,B00W4D6,Grand Pharmaceutical Group,CN,HKD,20103015.0
51199,2023-12-18,1148,CN2SWP,CNE000001KP1,BD5CKW3,Da An Gene 'A' (CCS),CN,CNY,20103010.0
51181,2023-12-18,1148,CN380A,CNE100002XD7,BKM3FD4,JIG.PRVL.AGRI.RECLM.& DEV.'A' (CCS),CN,CNY,45102010.0
50987,2023-12-18,1148,CN2TUO,CNE000001LQ7,BD5CCR2,Denghai Seeds 'A' (CCS),CN,CNY,45102010.0
