,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight
176895,2023-12-18,2027,TR308V,TREMRGY00013,MARTI GAYMEN.YATOTA.,TR,TRY,35102015,6.277603302270996e-05
177396,2023-12-18,2027,MY50G5,MYL7081OO002,PHARMANIAGA,MY,MYR,20103015,6.254496670742982e-05
177023,2023-12-18,2027,TR602S,TREPGYO00013,PANORA GYM YAT,TR,TRY,35102045,6.250690706295711e-05
176897,2023-12-18,2027,TR20H3,TREINFM00017,INFO YATIRIM,TR,TRY,30202015,6.177161649434658e-05
177393,2023-12-18,2027,MY90IB,MYL7089OO005,LII HEN INDS.,MY,MYR,40202015,6.126409119516484e-05
177189,2023-12-18,2027,PL00EO,PLCTINT00018,CI GAMES,PL,PLN,40203040,6.118725102158698e-05
175148,2023-12-18,2027,TH10Q1,TH9992010008,NEXT CAPITAL,TH,THB,30201020,6.07507903058251e-05
176918,2023-12-18,2027,TR207T,TREANGN00028,ANATOLIA TANI VE,TR,TRY,20103010,6.013283163228007e-05
177136,2023-12-18,2027,PL30AN,PLSTIGR00012,COLUMBUS ENERGY,PL,PLN,60102020,5.9745672556578786e-05
177004,2023-12-18,2027,461242,TRANETAS91H6,NORTEL NETAS,TR,TRY,15101010,5.889072786208369e-05
175277,2023-12-18,2027,TH304H,TH0329D10Z04,RABBIT HOLDINGS,TH,THB,35101010,5.8724909562131635e-05
176884,2023-12-18,2027,TR00P9,TRAUSAKW91F6,USAK SERAMIK SANAYI,TR,TRY,50101035,5.872412543669868e-05
177155,2023-12-18,2027,PL10Q1,PLCRPJR00019,CREEPY JAR,PL,PLN,40203040,5.8426815494628016e-05
177380,2023-12-18,2027,MY17E6,MYL6971OO005,KOBAY TECHNOLOGY,MY,MYR,50204000,5.823875203880668e-05
177199,2023-12-18,2027,PL00GQ,PLMLSTM00015,ML SYSTEM,PL,PLN,60102020,5.81369962240851e-05
177215,2023-12-18,2027,EW027,PLERBUD00012,ERBUD,PL,PLN,50101010,5.7864527385305444e-05
175282,2023-12-18,2027,TH22O2,TH6651010006,WICE LOGISTICS,TH,THB,50206060,5.7815196824776985e-05
