Date;Index_Symbol;Index_Name;Index_ISIN;Index_Type;Index_Currency;Index_Open_Quotation;Index_Settlement_Value;Index_Value_high;Index_Value_low;Index_Close;Index_Component_Count;Index_Float;Index_Mcap_Units;Index_Divisor;Internal_Number;ISIN;SEDOL;RIC;CUSIP;Instrument_Name;Country;Currency;Exchange;ICB;Shares;Free_Float;Capfactor;Weightfactor;Ci-factor;Close_unadjusted_local;FX_local_to_Index_Currency;Mcap_Units_local;Mcap_Units_Index_Currency;Weight;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;435435;DE0005790430;4354350;FPEG_p.DE;;FUCHS PETROLUB PREF;DE;EUR;XETRA(DE);1357;69500000;1.0;1.0;;;33.2700000;1.0000000;2312265000;2312265000;0.06912;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;421185;BE0974256852;5806225;COLR.BR;;ETS COLRUYT;BE;EUR;EURONEXT(BE);5337;156169749;0.3943;1.0;;;37.4000000;1.0000000;2303007177;2303007177;0.06884;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;567991;AT0000809058;5679911;IMFI.VI;;IMMOFINANZ;AT;EUR;XETRA(AT);8633;1128952687;0.8420;1.0;;;2.4110000;1.0000000;2291843949;2291843949;0.06851;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;B126KF;FR0000035081;4554406;ICAD.PA;;ICADE;FR;EUR;EURONEXT(FR);8671;73932891;0.4793;1.0;;;64.3300000;1.0000000;2279600132;2279600132;0.06814;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;507794;IT0001063210;5077946;MS.MI;;MEDIASET;IT;EUR;Milan;5553;1181227564;0.5871;1.0;;;3.2520000;1.0000000;2255257782;2255257782;0.06742;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;423586;GRS015013006;4235864;ACBr.AT;;ALPHA BANK;GR;EUR;Athens;8355;12769059858;0.3364;1.0;;;0.5220000;1.0000000;2242257126;2242257126;0.06703;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;554398;FR0000120222;5543986;CNPP.PA;;CNP ASSURANCES;FR;EUR;EURONEXT(FR);8575;686618477;0.2176;1.0;;;14.8900000;1.0000000;2224687815;2224687815;0.06650;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;755087;BE0003764785;5715774;ACKB.BR;;ACKERMANS & VAN HAAREN;BE;EUR;EURONEXT(BE);8775;33496904;0.6700;1.0;;;98.7100000;1.0000000;2215341225;2215341225;0.06622;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;409830;DE0005909006;5117381;GBFG.DE;;BILFINGER;DE;EUR;XETRA(DE);2791;46024127;1.0;1.0;;;47.6300000;1.0000000;2192129169;2192129169;0.06553;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;DE2092;DE000A1J5RX9;B7VG6L8;O2Dn.DE;;TELEFONICA DEUTSCHLAND;DE;EUR;XETRA(DE);6575;2233890800;0.2317;1.0;;;4.2170000;1.0000000;2182687564;2182687564;0.06525;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;432154;FR0000121121;7042395;EURA.PA;;EURAZEO;FR;EUR;EURONEXT(FR);2727;68569497;0.5685;1.0;;;55.9500000;1.0000000;2181029416;2181029416;0.06520;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;513962;NL0000852564;B1W8P14;AALB.AS;;AALBERTS INDUSTRIES;NL;EUR;EURONEXT(NL);2757;110580102;0.8673;1.0;;;22.5600000;1.0000000;2163642112;2163642112;0.06468;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;IE102Z;IE0000669501;4058629;GL9.I;;GLANBIA;IE;EUR;XETRA(IE);3577;295645684;0.5870;1.0;;;12.4400000;1.0000000;2158887571;2158887571;0.06454;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;710725;GRS419003009;7107250;OPAr.AT;;OPAP;GR;EUR;Athens;5752;319000000;0.6700;1.0;;;10.0800000;1.0000000;2154398400;2154398400;0.06440;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;491603;FR0000031122;4916039;AIRF.PA;;AIR FRANCE-KLM;FR;EUR;EURONEXT(FR);5751;300219278;0.8412;1.0;;;8.4760000;1.0000000;2140566818;2140566818;0.06399;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;449000;FI0009000202;4490005;KESBV.HE;;KESKO;FI;EUR;OMX(FI);5337;68282745;1.0;1.0;;;31.3100000;1.0000000;2137932746;2137932746;0.06391;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;774563;FR0000064578;7745638;FDR.PA;;FONCIERE DES REGIONS;FR;EUR;EURONEXT(FR);8671;62683088;0.4389;1.0;;;76.7700000;1.0000000;2112066069;2112066069;0.06314;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;BE301T;BE0974268972;BBH7K66;BPOST.BR;;BPOST SA;BE;EUR;EURONEXT(BE);2771;200000944;0.5000;1.0;;;20.8600000;1.0000000;2086009846;2086009846;0.06236;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;563828;ES0184262212;5638280;VIS.MC;;VISCOFAN;ES;EUR;SIBE;3577;46603682;0.9500;1.0;;;46.2600000;1.0000000;2048092017;2048092017;0.06122;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;464731;DE0005501357;4647317;SPRGn.DE;;SPRINGER (AXEL);DE;EUR;XETRA(DE);5557;98940000;0.4345;1.0;;;47.3550000;1.0000000;2035764458;2035764458;0.06086;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;445776;FR0000120859;B011GL4;IMTP.PA;;IMERYS;FR;EUR;EURONEXT(FR);1775;76238264;0.4379;1.0;;;60.8000000;1.0000000;2029791949;2029791949;0.06068;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;916775;NL0000360618;B156T57;SBMO.AS;;SBM OFFSHORE;NL;EUR;EURONEXT(NL);0573;209688427;0.8800;1.0;;;10.8600000;1.0000000;2003950362;2003950362;0.05990;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;447723;PTJMT0AE0001;B1Y1SQ7;JMT.LS;;JERONIMO MARTINS;PT;EUR;EURONEXT(PT);5337;629293220;0.3889;1.0;;;8.1700000;1.0000000;1999461527;1999461527;0.05977;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;692552;FR0000120560;5617096;NPOS.PA;;NEOPOST;FR;EUR;EURONEXT(FR);9574;34548003;1.0;1.0;;;57.0200000;1.0000000;1969927131;1969927131;0.05889;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;DE3093;DE0006632003;5531000;MORG.DE;;MORPHOSYS;DE;EUR;XETRA(DE);4573;26301132;0.9441;1.0;;;79.1700000;1.0000000;1965862274;1965862274;0.05877;
2014-11-28;SXXGT;ESTX Gross;CH0102635031;Gross Return;EUR;132.56;;132.71;131.79;132.71;293;0.7417;3345221992748;25206327782;402400;FI0009000285;4024006;AMEAS.HE;;AMER SPORTS;FI;EUR;OMX(FI);3745;118517285;1.0;1.0;;;16.4000000;1.0000000;1943683474;1943683474;0.05810;
