Date,No_Null_Size,Total,Count,Weight
2017-03-20,1809,1884,0.9601910828025477,0.9616824410963585
2017-06-19,1792,1867,0.9598286020353508,0.9611591476889737
2017-09-18,1813,1884,0.9623142250530785,0.9616660184506894
2017-12-18,1800,1872,0.9615384615384616,0.959481291903832
2018-03-19,1915,1988,0.9632796780684104,0.9590132806340029
2018-06-18,1900,1973,0.963000506842372,0.9595953635828818
2018-09-24,2003,2081,0.9625180201826046,0.9648172282691788
2018-12-24,2001,2076,0.9638728323699421,0.9657153677006804
2019-03-18,2469,2544,0.9705188679245284,0.9665695216399588
2019-06-24,2437,2512,0.9701433121019108,0.9657505983227919
2019-09-23,2259,2324,0.9720309810671256,0.9655478255376053
2019-12-23,2268,2333,0.9721388769824261,0.9663354348050517
2020-03-23,2366,2431,0.9732620320855615,0.962534089223058
2020-06-22,2355,2420,0.9731404958677686,0.9608711509042587
2020-09-21,2348,2398,0.9791492910758965,0.965274583795973
2020-12-21,2339,2389,0.9790707408957723,0.9683367947617001
2021-03-22,2592,2643,0.9807037457434733,0.9698904759253951
2021-06-21,2588,2639,0.9806744979158772,0.9697755146811099
2021-09-20,3300,3302,0.9993943064809206,0.9993019926497546
2021-12-20,3289,3291,0.9993922819811607,0.9996283062939796
2022-03-21,3326,3328,0.9993990384615384,0.9994532796597423
2022-06-20,3311,3314,0.9990947495473748,0.9994481693142194
2022-09-19,3325,3329,0.9987984379693602,0.9994734317668231
2022-12-19,3238,3239,0.9996912627354122,0.9996967038053067
2023-03-20,3264,3300,0.9890909090909091,0.9966376770326849
2023-06-19,3274,3276,0.9993894993894994,99.94117999999999
2023-09-18,4004,4004,1.0,99.99987
2023-12-18,3969,3969,1.0,99.99999000000001
2024-03-18,4885,4887,0.9995907509719665,99.99766
2024-06-24,4667,4667,1.0,100.00001999999999
