,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Capfactor,Mcap_Units_Index_Currency,Weight
119657,2019-03-18,1330,TW02I9,TW0002206000,Sanyang Industry,TW,TWD,40203055.0,1.0,455418189.0,0.00044858072366296903
120960,2019-03-18,1330,KR63YI,KR7200230001,TELCON RF PHARMACEUTICAL,KR,KRW,15101010.0,1.0,546799584.0,0.0004482487314694706
119703,2019-03-18,1330,TW06WR,TW0003596003,Arcadyan Tech,TW,TWD,15101010.0,1.0,439832258.0,0.00044784603029841185
120654,2019-03-18,1330,KR81J3,KR7033180001,FEELUX,KR,KRW,50202040.0,1.0,463778872.0,0.0004469194485817326
119727,2019-03-18,1330,TW1AHH,TW0002014008,CHUNG HUNG STEEL,TW,TWD,55102010.0,1.0,329278167.0,0.0004467120833605189
121949,2019-03-18,1330,ZA213F,ZAE000071676,NAMPAK,ZA,ZAR,50203030.0,1.0,494961463.0,0.0004464720807290756
120417,2019-03-18,1330,IN03OW,INE202B01012,DHFL,IN,INR,30201025.0,0.9569378,372248606.0,0.00044601738162832437
121989,2019-03-18,1330,PH808M,PHY4092J1026,INTEGRATED MICRO ELTN.,PH,PHP,10102015.0,1.0,203943511.0,0.00044567233745598897
119769,2019-03-18,1330,TW02NE,TW0002312006,Kinpo Electronic,TW,TWD,40203010.0,1.0,526974879.0,0.00044545259195251624
121166,2019-03-18,1330,HK1AHT,KYG020141019,AK MEDICAL HOLDINGS,CN,HKD,20102010.0,1.0,214393648.0,0.0004447253589077889
121287,2019-03-18,1330,CN0Q7W,CNE1000002D0,CHINA BLUE CHEMICAL 'H',CN,CNY,55201015.0,1.0,481172687.0,0.00044468599253411566
121944,2019-03-18,1330,ZA21EQ,ZAE000203063,EMIRA PROPERTY FUND,ZA,ZAR,35102030.0,1.0,459819334.0,0.0004440610210897634
121061,2019-03-18,1330,CN8A6N,KYG5427E1145,LEE & MAN CHEMICAL CO.,CN,HKD,40204020.0,1.0,132683719.0,0.000443538644491423
119560,2019-03-18,1330,TW017X,TW0001313005,UPC Tech,TW,TWD,55201000.0,1.0,350756400.0,0.0004419673645764978
120092,2019-03-18,1330,427764,TRADOHOL91Q8,DOGAN SIRKETLER GRUBU,TR,TRY,50203000.0,1.0,250570688.0,0.0004406163135183579
119915,2019-03-18,1330,MY50OD,MYL5263OO008,SUNWAY CONSTRUCTION GROUP,MY,MYR,50101015.0,1.0,162411098.0,0.0004396820497036081
120934,2019-03-18,1330,KR50XD,KR7048530000,INTRON BIOTECHNOLOGY,KR,KRW,20103010.0,1.0,462448969.0,0.0004378170779792667
119937,2019-03-18,1330,MY22PD,MYL5180TO003,CAPITALAND MAL. MALL TRUST,MY,MYR,35102045.0,1.0,188998760.0,0.0004367421451309155
121984,2019-03-18,1330,PH601D,PHY223581083,EAST WEST BANKING,PH,PHP,30101010.0,1.0,122469044.0,0.00043287932084777955
120324,2019-03-18,1330,IN60LW,INE988K01017,EQUITAS HOLDINGS,IN,INR,30201020.0,0.5317417,335567415.0,0.0004326367242132979
