,Date,Index_Component_Count,Internal_Number,ISIN,Instrument_Name,Country,Currency,ICB,Weight,SEDOL,Capfactor,Mcap_Units_Index_Currency
462,2019-03-18,1330,TW12G8,TW0002383007,Elite Matl,TW,TWD,10102015.0,0.000990313047171606,6316121,1.0,925781555.0
463,2019-03-18,1330,PH30BK,PHY1234G1032,CEBU AIR,PH,PHP,40501010.0,0.0003223997818307887,B2NRDY6,1.0,301391335.0
464,2019-03-18,1330,PK217J,PK0053401011,FAUJI FERTILIZER,PK,PKR,55201015.0,0.0004812325297703746,6332741,1.0,449874109.0
465,2019-03-18,1330,IN506G,INE191H01014,PVR,IN,INR,40301010.0,0.0005284013985787008,B0LX4M7,0.7903877,493969326.0
466,2019-03-18,1330,KR16EW,KR7098460009,Koh Young Tech,KR,KRW,50202025.0,0.0009313298474196408,B39Q399,1.0,870641861.0
467,2019-03-18,1330,B03MXD,TRASASAW91E4,SASA POLYESTER A,TR,TRY,55201010.0,0.00015714649939735416,B03MXD6,1.0,146906406.0
468,2019-03-18,1330,TH20X9,TH0285A10Z09,BANGKOK LAND,TH,THB,35101010.0,0.0004983686981165282,BYVRFG8,0.7113821,465893638.0
469,2019-03-18,1330,KR02ER,KR7003690005,Korean Reinsu,KR,KRW,30302020.0,0.0010303310608036755,B01T146,1.0,963191886.0
470,2019-03-18,1330,KR30GU,KR7185750007,CHONG KUN DANG PHARM.,KR,KRW,20103015.0,0.0006486893999777321,BFZD2P7,1.0,606419034.0
471,2019-03-18,1330,TW03TL,TW0002448008,Epistar,TW,TWD,10102010.0,0.0008867743703247548,6354154,1.0,828989740.0
472,2019-03-18,1330,TW02G7,TW0002201001,Yulon Motor,TW,TWD,40101020.0,0.0005678723597866281,6988597,1.0,530868252.0
473,2019-03-18,1330,CN1TD6,CNE1000023R6,YICHANG HEC CHANGJIANG PHARM.CO.'H',CN,HKD,20103015.0,0.0005618456071926045,BYPHSW1,1.0,525234219.0
475,2019-03-18,1330,CN92GQ,KYG5216Q1047,KASEN INTERNATIONAL HDG.,CN,CNY,40202015.0,0.0004588107945050715,B0LNRS4,1.0,428913435.0
495,2019-03-18,1330,TW05F9,TW0002889003,Waterland Fin,TW,TWD,30202015.0,0.0008643421808336597,6518392,1.0,808019293.0
414,2019-03-18,1330,KR16SA,KR7003520004,Yungjin Pharm,KR,KRW,20103015.0,0.0006038833669785151,6698476,1.0,564532684.0
412,2019-03-18,1330,BR03TY,BRLIGTACNOR2,LIGHT,BR,BRL,65101010.0,0.0005253740556799237,B0W1X34,1.0,491139253.0
354,2019-03-18,1330,TW05XR,TW0003037008,Unimicron Tech.,TW,TWD,10102015.0,0.0012922704018373552,6137720,1.0,1208062547.0
355,2019-03-18,1330,MX502Q,MXCFFI170008,PROLOGIS PROPERTY MEXICO REIT,MX,MXN,35102020.0,0.0007484497829150827,BN56JP1,1.0,699678759.0
356,2019-03-18,1330,MX408V,MXCFTE0B0005,TERRA '13',MX,MXN,35102020.0,0.0012919905991319008,B87Y2V5,1.0,1207800977.0
357,2019-03-18,1330,EW052,PLENEA000013,ENEA,PL,PLN,65101015.0,0.0005725466695250346,B3F97B2,1.0,535237971.0
358,2019-03-18,1330,TH21O1,TH0480B10Z01,MBK,TH,THB,35101010.0,0.000465908420096796,BFWRH46,0.6449532,435548560.0
359,2019-03-18,1330,BR20AE,BREZTCACNOR0,EZTEC,BR,BRL,35101010.0,0.0008623632588968578,B1YW5V4,1.0,806169323.0
360,2019-03-18,1330,IN0AS7,INE692A01016,Union Bank,IN,INR,30101010.0,0.0003064674689838995,6579634,0.8707009,286497215.0
353,2019-03-18,1330,ID012Y,ID1000113301,MATAHARI DEPARTMENT SOE.,ID,IDR,40401010.0,0.0007454300488271169,6665878,1.0,696855799.0
361,2019-03-18,1330,BR307C,BRALPAACNPR7,ALPARGATAS PREF,BR,BRL,40204020.0,0.0009002670543189065,B07C796,1.0,841603204.0
363,2019-03-18,1330,BR20BF,BRQUALACNOR6,QUALICORP,BR,BRL,30302010.0,0.0011730393030902923,B4LHBQ0,1.0,1096600871.0
364,2019-03-18,1330,MY309W,MYL7293OO003,YINSON HOLDINGS,MY,MYR,50206050.0,0.0007436442824307867,6986717,1.0,695186398.0
365,2019-03-18,1330,CN26AH,BMG8165U1009,SINOPEC KANTONS HOLDINGS,CN,HKD,60101030.0,0.0005176648755294996,6162692,1.0,483932424.0
366,2019-03-18,1330,597895,PLSOFTB00016,ASSECO POLAND,PL,PLN,10101015.0,0.0011478313813337627,5978953,1.0,1073035566.0
367,2019-03-18,1330,ID201Y,ID1000053705,MEDCO ENERGI INTL.,ID,IDR,60101015.0,0.00032945419990300135,6254511,1.0,307986068.0
368,2019-03-18,1330,KR104G,KR7057050007,HD Home Shopping,KR,KRW,40401010.0,0.0006471753835485197,B691DP1,0.8278425,605003675.0
369,2019-03-18,1330,TW18PN,TW0002231008,CUB ELECPARTS,TW,TWD,40101025.0,0.0007261314089535118,B297JM0,1.0,678814711.0
362,2019-03-18,1330,PH703G,PHY9584X1055,WILCON DEPOT,PH,PHP,40401025.0,0.00044927814727952755,BYXYHM7,1.0,420001961.0
352,2019-03-18,1330,TW08QN,TW0009933002,CTCI Corp,TW,TWD,50101015.0,0.0010067763080356693,6239187,1.0,941172025.0
351,2019-03-18,1330,TH21LY,TH0975010008,ESSO THAILAND,TH,THB,60101020.0,0.0004251926090894891,B2R3SR8,1.0,397485902.0
350,2019-03-18,1330,EG005Z,EGS691S1C011,Talaat Moustafa Group,EG,EGP,35101010.0,0.0005486067170994555,B2989Q7,1.0,512858011.0
333,2019-03-18,1330,BR703C,BRSAPRACNPR6,CIA SANEAMENTO PN,BR,BRL,65102030.0,0.0013416481117402698,2762085,1.0,1254222671.0
334,2019-03-18,1330,TR80A2,TRESOKM00022,SOK MARKETLER TICARET,TR,TRY,45201010.0,0.0004677267194276408,BFZCT20,1.0,437248374.0
335,2019-03-18,1330,BR02JN,BRCPLEACNPB9,COPEL - CIA PR DE ENERGIA,BR,BRL,65101010.0,0.0011076545839184251,2200154,1.0,1035476798.0
336,2019-03-18,1330,BR10AD,BRTIETCDAM15,AES BRASIL ON,BR,BRL,65101010.0,0.0012913867956547615,BZ8W2L7,1.0,1207236519.0
337,2019-03-18,1330,MY23J8,MYL7153OO009,KOSSAN RUBBER,MY,MYR,20102015.0,0.0005079998330703712,B0DD1H9,1.0,474897182.0
338,2019-03-18,1330,TW04YR,TW0002812005,Taichung Comm Bk,TW,TWD,30101010.0,0.0009952125993180638,6869971,1.0,930361839.0
339,2019-03-18,1330,EG0060,EGS48031C016,TELECOM EGYPT,EG,EGP,15102015.0,0.00026384887656344223,B0S6009,1.0,246655766.0
340,2019-03-18,1330,MY21AX,MYL5218OO002,SAPURA ENERGY,MY,MYR,60101030.0,0.0012930186176127003,B7GJ601,1.0,1208762007.0
341,2019-03-18,1330,MY50NC,MYQ0166OO007,INARI AMERTRON,MY,MYR,10102010.0,0.0009600684691941525,B54JP79,1.0,897507796.0
342,2019-03-18,1330,CN8FYK,KYG5139G1001,JIAYUAN INTL.GP.,CN,HKD,35101010.0,0.0006334054373980036,BD39D16,1.0,592131016.0
343,2019-03-18,1330,TW1ON1,TW0006446008,PHARMAESSENTIA,TW,TWD,20103010.0,0.0010983320566830442,BJTCKZ4,1.0,1026761752.0
344,2019-03-18,1330,CN898O,BMG8220B1476,SKYFAME REALTY (HDG.),CN,HKD,35101010.0,0.00033856759876464275,BGT16D0,1.0,316505613.0
345,2019-03-18,1330,PH309I,PHY6885F1067,PETRON,PH,PHP,60101020.0,0.00030415305229647736,6684130,1.0,284333612.0
346,2019-03-18,1330,KR02V8,KR7005440003,Hyundai Green,KR,KRW,40401010.0,0.0008813951828345102,6489302,1.0,823961075.0
347,2019-03-18,1330,IN30EM,INE031B01049,AJANTA PHARMA,IN,INR,20103015.0,0.0003335405057053458,BWFGD74,0.7384615,311806099.0
348,2019-03-18,1330,CL00OL,CLP3064M1019,COMP. SUDAMERICANA DE VAPORES,CL,CLP,50206030.0,0.0005201691605542973,2196338,1.0,486273523.0
349,2019-03-18,1330,635467,HK0639031506,SHOUGANG FUSHAN RESOURCES GROUP,CN,HKD,60101040.0,0.0006048555992801192,6354671,1.0,565441563.0
370,2019-03-18,1330,TH517N,TH4536010Z09,CK POWER,TH,THB,65101010.0,0.00033369270010655364,BWX5FX3,1.0,311948376.0
371,2019-03-18,1330,BR0428,BRMPLUACNOR3,Multiplus,BR,BRL,50205020.0,0.0003322845876695731,B3PRVV4,1.0,310632020.0
372,2019-03-18,1330,CN1RZQ,US44852D1081,HUYA ADR 1:1,CN,USD,40203040.0,0.0010498466453845777,BF4NQP6,1.0,981435782.0
373,2019-03-18,1330,MX11M7,MX01Q0000008,QUALITAS CONTROLADORA,MX,MXN,30302025.0,0.00047671141674664836,BYMXF65,1.0,445647604.0
395,2019-03-18,1330,KR06J0,KR7085660009,CHABIOTECH,KR,KRW,20103010.0,0.0011147332051332519,B0TLGZ0,1.0,1042094157.0
396,2019-03-18,1330,KR03R5,KR7011200003,Hyundaimercmar,KR,KRW,50206030.0,0.0009634690824016813,6405869,1.0,900686816.0
397,2019-03-18,1330,HK196H,KYG1146W1050,BEIJING ENTERPRISE CLEAN ENERGY GP,CN,HKD,60102020.0,0.0004934225592528428,BYZWFF8,1.0,461269803.0
398,2019-03-18,1330,CN8H3R,KYG1809X1016,CAMSING INTERNATIONAL,CN,HKD,50202010.0,0.0003624907300809843,BYQHQT3,1.0,338869848.0
399,2019-03-18,1330,CN8BQ8,KYG8655K1094,TIANNENG POWER INTL.,CN,HKD,40101025.0,0.0007438583517713666,B1XDJC7,1.0,695386518.0
400,2019-03-18,1330,KR00X8,KR7000080002,HITEJINRO,KR,KRW,45101015.0,0.0006072380074794172,B05R492,1.0,567668727.0
401,2019-03-18,1330,ID7057,ID1000130305,INDUSTRI JAMU DAN FARMASI,ID,IDR,45102020.0,0.000218231236007988,BH7HMM8,1.0,204010695.0
402,2019-03-18,1330,MY207T,MYL5031OO009,TIME DOTCOM,MY,MYR,15102015.0,0.0006439013902379283,6336538,1.0,601943024.0
403,2019-03-18,1330,CN8FZL,KYG989761062,ZHOU HEI YA INTL.HDG.,CN,HKD,45102020.0,0.00031815645725822775,BYXBG32,1.0,297424517.0
404,2019-03-18,1330,MY50E3,MYL5264OO006,MALAKOFF,MY,MYR,65101015.0,0.0005110384645647467,BWXN162,1.0,477737808.0
405,2019-03-18,1330,KR02R4,KR7005250006,Green Cross Hldg,KR,KRW,20103010.0,0.0008849216874699531,6497134,1.0,827257783.0
406,2019-03-18,1330,CN8CL4,BMG7208D1092,POU SHENG INTL.(HDG.),CN,HKD,40401020.0,0.00045315930614969583,B39GMS1,1.0,423630213.0
407,2019-03-18,1330,TW12NF,TW0002439007,Merry Eltrs,TW,TWD,40203010.0,0.0012442572085490378,6129749,1.0,1163178024.0
408,2019-03-18,1330,BR3016,BRALSCACNOR0,ALIANSCE SHOPPING CENTERS,BR,BRL,35101010.0,0.0005970827577831733,B23FNB7,1.0,558175221.0
409,2019-03-18,1330,PH254,KYG781631059,SANY HEAVY EQU.INTL.,CN,HKD,50204020.0,0.0004114956210906067,B56HH42,1.0,384681447.0
410,2019-03-18,1330,TW012S,TW0001229003,Lien Hwa Ind,TW,TWD,45102020.0,0.0009650823599558208,6515144,1.0,902194968.0
411,2019-03-18,1330,PL004E,PLTAURN00011,TAURON,PL,PLN,65101015.0,0.0006165980407072996,B5P7L41,1.0,576418835.0
394,2019-03-18,1330,KR02GT,KR7004000006,LOTTE FINE CHEMICAL,KR,KRW,55201000.0,0.0008091249380848143,6496432,1.0,756400156.0
413,2019-03-18,1330,TH214H,TH0307010Z09,SINO-THAI ENGR.CON.,TH,THB,50101010.0,0.0005651396991881856,6541406,0.5788541,528313659.0
393,2019-03-18,1330,HK00BC,CNE1000004R6,ZHAOJIN MINING IND.'H',CN,HKD,55103025.0,0.0011824045703841524,B1H5082,1.0,1105355872.0
391,2019-03-18,1330,ID80MP,ID1000142805,BK.TBPNSU.NASL. SYARIAH,ID,IDR,30101010.0,0.0002509926562758251,BFNBJ41,1.0,234637292.0
374,2019-03-18,1330,IN712F,INE545A01016,HEG,IN,INR,50202010.0,0.0003569698066941434,6399887,0.4348592,333708683.0
375,2019-03-18,1330,CN8CXG,KYG211411098,CHINA LILANG,CN,HKD,40204020.0,0.0005759001119564712,B4JMX94,1.0,538372894.0
